Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	CTNNA1	Catenin alpha-1	22	15	P35221	P35221	22	22	15	100.07	32.5	-0.0398382	6.05E-01	31.9999	0	31.9793	0	31.7989	0	31.9087	0	31.9733	0	32.0156	0	
	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	16	15	P30153	P30153	16	16	15	65.308	37.4	-0.0713908	5.61E-01	31.7255	0	31.4883	0	31.4905	0	31.6504	0	31.7736	0	31.4945	0	
	PHGDH	D-3-phosphoglycerate dehydrogenase	12	12	O43175	O43175	12	12	12	56.65	23.6	-0.0764497	6.01E-01	31.9605	0	31.9107	0	31.8623	0	31.9474	0	32.2336	0	31.7818	0	
	FLNA	Filamin-A	42	40	P21333	P21333	42	42	40	280.74	20.9	-0.0547161	8.00E-01	32.0162	0	32.0883	0	32.2991	0	31.9129	0	32.1195	0	32.5353	0	
	CCT4	T-complex protein 1 subunit delta	15	15	P50991	P50991	15	15	15	57.924	36.4	-0.156517	2.00E-01	31.9779	0	31.6376	0	31.7461	0	31.9127	0	31.9793	0	31.9391	0	
	HSPA4	Heat shock 70 kDa protein 4	22	19	P34932	P34932	22	22	19	94.33	31.7	-0.0244319	8.51E-01	31.4723	0	31.8069	0	31.6121	0	31.516	0	31.7707	0	31.6779	0	
	VCL	Vinculin	33	33	P18206	P18206	33	33	33	123.8	35.2	0.0576515	5.62E-01	31.6521	0	31.5026	0	31.7395	0	31.4918	0	31.5398	0	31.6897	0	219
	LDHA	L-lactate dehydrogenase A chain	14	14	P00338	P00338	14	14	14	36.688	31.3	-0.0421162	8.14E-01	31.6517	0	32.1973	0	31.9848	0	31.9284	0	32.0923	0	31.9394	0	
	TRIM28	Transcription intermediary factor 1-beta	16	16	Q13263	Q13263	16	16	16	88.549	24.6	0.231763	9.90E-02	31.4088	0	31.6102	0	31.7665	0	31.3689	0	31.3062	0	31.4152	0	
	H2AFV;H2AFZ	Histone H2A.V;Histone H2A.Z	5	3	Q71UI9;P0C0S5;Q96QV6	Q71UI9;P0C0S5	5;5;2	3;3;0	3;3;0	13.509	53.9	-0.150084	4.53E-01	32.0458	0	32.2226	0	31.6912	0	31.9561	0	32.2159	0	32.238	0	
	EIF4A1	Eukaryotic initiation factor 4A-I	16	15	P60842;Q14240	P60842	16;7	16;7	15;6	46.153	38.7	-0.230567	4.45E-01	31.9687	0	31.5639	0	31.1701	0	31.799	0	32.0481	0	31.5473	0	369
	HIST1H1C;HIST1H1E;HIST1H1D	Histone H1.2;Histone H1.4;Histone H1.3	7	7	P16403;P10412;P16402;P22492;Q02539	P16403;P10412;P16402	7;6;6;2;2	7;6;6;2;2	7;6;6;2;2	21.364	23.5	-0.420852	2.83E-01	31.4988	0	31.795	0	31.7991	0	31.6969	0	32.7576	0	31.9009	0	64
	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	12	12	P61978	P61978	12	12	12	50.976	34.6	-0.119897	4.69E-01	31.793	0	31.6368	0	31.3516	0	31.6096	0	31.8617	0	31.6697	0	
	MYO6	Unconventional myosin-VI	32	32	Q9UM54	Q9UM54	32	32	32	149.69	27.7	0.105258	4.70E-01	31.5448	0	31.4378	0	31.6912	0	31.3908	0	31.3014	0	31.6656	0	
	KPNB1	Importin subunit beta-1	18	18	Q14974	Q14974	18	18	18	97.169	25.7	-0.197018	1.32E-01	31.4323	0	31.3293	0	31.1037	0	31.5157	0	31.5318	0	31.4089	0	
	DDB1	DNA damage-binding protein 1	24	24	Q16531	Q16531	24	24	24	126.97	24.8	0.613852	8.36E-02	31.8466	0	31.356	0	32.1061	0	31.3862	0	30.8672	0	31.2137	0	
	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	17	15	Q9NZI8	Q9NZI8	17	17	15	63.48	32.2	-0.312611	8.00E-02	31.246	0	31.3217	0	31.1133	0	31.6476	0	31.67	0	31.3012	0	450
	IQGAP1	Ras GTPase-activating-like protein IQGAP1	41	39	P46940;Q86VI3	P46940	41;2	41;2	39;1	189.25	25.8	-0.115609	7.90E-01	31.9072	0	31.7396	0	30.891	0	31.829	0	31.9393	0	31.1163	0	
	PLS3	Plastin-3	18	15	P13797;P13796	P13797	18;2	18;2	15;1	70.81	33	0.233606	4.51E-01	31.8374	0	31.4118	0	30.9236	0	31.1967	0	30.9812	0	31.2941	0	
	RAB11B	Ras-related protein Rab-11B	8	1	Q15907	Q15907	8	8	1	24.488	37.2	-0.28993	1.05E-01	31.4063	0	31.8018	0	31.6916	0	32.0633	0	31.8903	0	31.8159	0	
	XPO1	Exportin-1	22	22	O14980	O14980	22	22	22	123.38	24.2	-0.173433	7.31E-02	31.327	0	31.1789	0	31.1622	0	31.4909	0	31.3712	0	31.3264	0	
	RPS10;RPS10P5	40S ribosomal protein S10;Putative 40S ribosomal protein S10-like	10	10	P46783;Q9NQ39	P46783;Q9NQ39	10;6	10;6	10;6	18.898	48.5	-0.313515	1.12E-01	31.2944	0	31.6583	0	31.506	0	31.9241	0	31.9008	0	31.5743	0	138;139
	EPRS	Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	29	29	P07814	P07814	29	29	29	170.59	20.9	-0.655743	3.60E-01	31.7593	0	31.6748	0	29.8657	0	31.9238	0	31.88	0	31.4633	0	
	UBA6	Ubiquitin-like modifier-activating enzyme 6	25	25	A0AVT1	A0AVT1	25	25	25	117.97	30.2	0.121349	4.21E-01	31.4593	0	30.9954	0	31.2595	0	31.1249	0	31.085	0	31.1402	0	
	EZR	Ezrin	20	10	P15311	P15311	20	20	10	69.412	31.7	-0.145288	3.21E-01	31.1166	0	31.3967	0	31.129	0	31.2761	0	31.5397	0	31.2623	0	
	PGK1	Phosphoglycerate kinase 1	13	13	P00558;P07205	P00558	13;3	13;3	13;3	44.614	37.4	0.0305303	8.56E-01	31.6507	0	31.2371	0	31.5114	0	31.2663	0	31.6164	0	31.4248	0	
	CCT6A	T-complex protein 1 subunit zeta	16	12	P40227	P40227	16	16	12	58.024	35.2	-0.0531724	7.73E-01	31.3401	0	31.4033	0	31.4248	0	31.5526	0	31.1076	0	31.6677	0	
	SUMO1	Small ubiquitin-related modifier 1	4	4	P63165;CON__sw|P81644_CONT|CONT_P81644	P63165	4;1	4;1	4;1	11.557	43.6	0.0985279	6.59E-01	31.4151	0	31.6462	0	31.8566	0	31.2143	0	31.7162	0	31.6918	0	16
	MYH9	Myosin-9	41	33	P35579	P35579	41	41	33	226.53	27.1	-0.200033	2.48E-01	31.5774	0	31.5129	0	31.6749	0	31.5259	0	31.8327	0	32.0066	0	
	ST13;ST13P5;ST13P4	Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4	10	10	P50502;Q8NFI4;Q8IZP2	P50502;Q8NFI4;Q8IZP2	10;8;6	10;8;6	10;8;6	41.331	22.2	0.0257409	9.00E-01	31.4795	0	31.348	0	31.6996	0	31.3222	0	31.3177	0	31.81	0	360;364
	ITCH	E3 ubiquitin-protein ligase Itchy homolog	20	19	Q96J02;Q9H0M0	Q96J02	20;2	20;2	19;2	102.8	24	0.0797749	6.03E-01	31.0828	0	31.3469	0	31.4514	0	31.2022	0	31.0652	0	31.3743	0	350
	XRCC6	X-ray repair cross-complementing protein 6	18	18	P12956	P12956	18	18	18	69.842	42.7	0.0610682	4.97E-01	31.2623	0	30.9918	0	31.1691	0	31.0585	0	31.1205	0	31.0611	0	
	TXLNA	Alpha-taxilin	14	14	P40222	P40222	14	14	14	61.89	33	0.0656757	5.87E-01	31.0965	0	31.1453	0	31.3338	0	31.2437	0	30.9624	0	31.1725	0	
	EIF3A	Eukaryotic translation initiation factor 3 subunit A	32	32	Q14152	Q14152	32	32	32	166.57	22.9	0.037089	9.13E-01	31.6512	0	31.4158	0	30.8817	0	31.4893	0	31.513	0	30.8351	0	
	SCAMP3	Secretory carrier-associated membrane protein 3	7	7	O14828	O14828	7	7	7	38.287	25.4	0.281169	3.11E-01	31.4872	0	31.5412	0	31.416	0	31.5724	0	30.7521	0	31.2765	0	
	CCT3	T-complex protein 1 subunit gamma	16	16	P49368	P49368	16	16	16	60.533	30.8	-0.124086	3.65E-01	31.1257	0	31.1258	0	31.0186	0	31.1032	0	31.4462	0	31.093	0	
	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	40	40	Q13813	Q13813	40	40	40	284.54	20.4	-0.092776	6.36E-01	31.3745	0	31.4237	0	31.6158	0	31.2486	0	31.6348	0	31.8089	0	
	EEF1G	Elongation factor 1-gamma	10	10	P26641	P26641	10	10	10	50.118	18.3	0.0281512	8.86E-01	31.3617	0	31.3388	0	31.0155	0	31.1999	0	31.471	0	30.9606	0	
	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	17	17	Q14258	Q14258	17	17	17	70.973	29.5	-0.309973	1.24E-01	30.6739	0	30.874	0	31.1259	0	31.0816	0	31.1402	0	31.3819	0	
	SLC1A5	Neutral amino acid transporter B(0)	11	11	Q15758	Q15758	11	11	11	56.598	21.4	-0.0485732	8.04E-01	31.0261	0	30.7376	0	31.3098	0	31.1267	0	30.9153	0	31.1773	0	537
	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed	20	20	P11586	P11586	20	20	20	101.56	23.6	0.0483246	2.07E-01	31.0097	0	30.9946	0	31.015	0	31.0155	0	30.9069	0	30.9519	0	
	ANXA6	Annexin A6	25	25	P08133	P08133	25	25	25	75.872	39.4	-0.151523	2.02E-01	31.0773	0	30.7975	0	30.7839	0	30.9964	0	31.088	0	31.029	0	
	SPG20	Spartin	13	13	Q8N0X7	Q8N0X7	13	13	13	72.832	21.5	0.0524019	8.12E-01	31.0847	0	30.8945	0	31.2465	0	31.0322	0	30.7073	0	31.3291	0	362
	ATXN10	Ataxin-10	16	16	Q9UBB4	Q9UBB4	16	16	16	53.488	36.2	0.0971444	5.07E-01	31.1701	0	31.2392	0	30.8115	0	31.0025	0	30.9519	0	30.9749	0	
	CSDE1	Cold shock domain-containing protein E1	18	18	O75534	O75534	18	18	18	88.884	22.8	0.143174	4.67E-01	30.8519	0	30.766	0	31.2049	0	30.8019	0	30.9991	0	30.5922	0	
	MATR3	Matrin-3	14	14	P43243	P43243	14	14	14	94.622	23.1	-0.0265764	7.35E-01	30.885	0	30.7137	0	30.8037	0	30.7214	0	30.8966	0	30.8641	0	
	FASN	Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	28	28	P49327	P49327	28	28	28	273.42	13.7	0.0345707	7.54E-01	31.2847	0	31.2783	0	31.4941	0	31.3369	0	31.1798	0	31.4367	0	
	GCN1L1	Translational activator GCN1	43	43	Q92616	Q92616	43	43	43	292.75	19.7	-0.283781	1.13E-01	31.1064	0	31.1024	0	31.3511	0	31.3597	0	31.3541	0	31.6973	0	
	ACLY	ATP-citrate synthase	18	18	P53396	P53396	18	18	18	120.84	18.6	-0.159015	9.78E-02	30.7961	0	30.6642	0	30.8715	0	30.9697	0	30.9869	0	30.8522	0	
	SMARCC1	SWI/SNF complex subunit SMARCC1	17	11	Q92922	Q92922	17	17	11	122.87	18.7	0.126375	5.66E-01	31.4423	0	30.8107	0	30.8701	0	30.9333	0	30.8769	0	30.9338	0	910
	PRDX1	Peroxiredoxin-1	9	7	Q06830	Q06830	9	9	7	22.11	40.7	-0.373974	9.31E-02	30.7257	0	31.0413	0	30.9404	0	31.126	0	31.5616	0	31.1418	0	35
	FLNB	Filamin-B	37	34	O75369	O75369	37	35	34	278.16	17.7	-0.150028	5.16E-01	30.9822	0	31.1568	0	31.3287	0	30.9974	0	31.2807	0	31.6397	0	
	UBE3A	Ubiquitin-protein ligase E3A	17	17	Q05086	Q05086	17	17	17	100.69	21.9	0.184605	6.10E-01	31.3435	0	30.3901	0	30.9944	0	30.9237	0	30.3548	0	30.8956	0	
	CCT7	T-complex protein 1 subunit eta	10	10	Q99832	Q99832	10	10	10	59.366	20.8	-0.0525036	6.85E-01	30.8208	0	30.6855	0	30.8801	0	30.9244	0	30.6396	0	30.9799	0	47
	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	11	11	P04406;O14556	P04406	11;1	11;1	11;1	36.053	36.1	0.0649656	6.72E-01	30.7622	0	30.9952	0	30.8953	0	30.6252	0	31.0534	0	30.7793	0	
	GMPS	GMP synthase [glutamine-hydrolyzing]	14	14	P49915	P49915	14	14	14	76.715	25.5	0.397589	5.54E-02	31.1576	0	30.6974	0	31.0742	0	30.4962	0	30.5897	0	30.6504	0	
	CSE1L	Exportin-2	24	24	P55060	P55060	24	24	24	110.42	27.3	0.00669988	9.50E-01	30.7622	0	30.5608	0	30.8598	0	30.81	0	30.6995	0	30.6532	0	
	CCT2	T-complex protein 1 subunit beta	19	19	P78371	P78371	19	19	19	57.488	47.9	-0.037475	6.53E-01	30.9328	0	30.6816	0	30.8041	0	30.8669	0	30.8731	0	30.7909	0	
	MCM6	DNA replication licensing factor MCM6	17	17	Q14566	Q14566	17	17	17	92.888	23.9	0.361874	5.07E-02	30.9413	0	30.6249	0	31.0534	0	30.4586	0	30.5407	0	30.5347	0	422
	VPS35	Vacuolar protein sorting-associated protein 35	15	15	Q96QK1	Q96QK1	15	15	15	91.706	24	-0.111994	4.99E-01	30.7571	0	30.3551	0	30.7639	0	30.7934	0	30.6033	0	30.8154	0	
	EEF1D	Elongation factor 1-delta	8	8	P29692	P29692	8	8	8	31.121	33.1	-0.174424	5.77E-01	30.9442	0	30.2744	0	30.8036	0	30.9809	0	31.1137	0	30.4509	0	
	CAND1	Cullin-associated NEDD8-dissociated protein 1	22	22	Q86VP6	Q86VP6	22	22	22	136.37	22	0.040905	6.73E-01	30.6027	0	30.4886	0	30.7898	0	30.5782	0	30.5576	0	30.6225	0	
	HIST2H3A;HIST3H3;H3F3A;HIST1H3A;H3F3C	Histone H3.2;Histone H3.1t;Histone H3.3;Histone H3.1;Histone H3.3C	3	3	Q71DI3;Q16695;P84243;P68431;Q6NXT2	Q71DI3;Q16695;P84243;P68431;Q6NXT2	3;3;3;3;2	3;3;3;3;2	3;3;3;3;2	15.388	16.9	-0.0533047	8.84E-01	30.731	0	30.9866	0	31.015	0	30.6312	0	31.6247	0	30.6366	0	
	NSFL1C	NSFL1 cofactor p47	15	15	Q9UNZ2	Q9UNZ2	15	15	15	40.572	44.3	0.0882111	3.31E-01	30.9549	0	30.9638	0	30.7567	0	30.8321	0	30.8587	0	30.72	0	
	OLA1	Obg-like ATPase 1	10	10	Q9NTK5	Q9NTK5	10	10	10	44.743	28.8	-0.0826963	5.32E-01	30.7177	0	30.8348	0	30.7147	0	30.9201	0	30.9824	0	30.6127	0	
	PRKDC	DNA-dependent protein kinase catalytic subunit	32	32	P78527	P78527	32	32	32	469.08	8.4	0.123613	4.06E-01	31.0688	0	30.9541	0	31.2435	0	30.972	0	30.7828	0	31.1408	0	
	SFPQ	Splicing factor, proline- and glutamine-rich	13	12	P23246	P23246	13	13	12	76.149	23.3	0.170315	2.05E-01	30.8148	0	30.7523	0	30.7519	0	30.3814	0	30.7194	0	30.7073	0	
	LMNB1	Lamin-B1	16	16	P20700	P20700	16	16	16	66.408	31.9	0.0653731	5.21E-01	30.4756	0	30.7359	0	30.6907	0	30.6601	0	30.5035	0	30.5425	0	
	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK	Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K	4	2	Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q96A08	Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814	4;4;4;4;4;4;4;4;4;1	4;4;4;4;4;4;4;4;4;1	2;2;2;2;2;2;2;2;2;0	13.952	27	-0.141888	6.88E-01	30.5389	0	30.9881	0	30.8874	0	30.6272	0	31.544	0	30.6688	0	
	GANAB	Neutral alpha-glucosidase AB	7	7	Q14697	Q14697	7	7	7	106.87	9.1	-0.0497793	8.09E-01	30.2527	0	30.2054	0	30.7703	0	30.3694	0	30.4193	0	30.589	0	
	YWHAB	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	11	7	P31946	P31946	11	9	7	28.082	48.8	0.262329	5.60E-01	31.1368	0	31.2635	0	30.5321	0	31.3973	0	30.477	0	30.2711	0	
	PKM	Pyruvate kinase PKM	16	16	P14618;P30613	P14618	16;1	16;1	16;1	57.936	37.9	-0.177943	2.79E-01	30.3561	0	30.5065	0	30.8064	0	30.6812	0	30.6829	0	30.8387	0	
	HDAC1	Histone deacetylase 1	6	1	Q13547;O15379	Q13547	6;1	6;1	1;0	55.102	13.1	0.40615	9.49E-02	30.5951	0	30.8848	0	31.0823	0	30.2995	0	30.6885	0	30.3558	0	
	EPS15	Epidermal growth factor receptor substrate 15	16	16	P42566	P42566	16	16	16	98.655	23.5	0.0417035	7.52E-01	30.5627	0	30.3637	0	30.6426	0	30.299	0	30.5747	0	30.5702	0	
	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	23	23	O75643	O75643	23	23	23	244.5	12.3	0.124961	4.08E-01	30.7842	0	31.0258	0	31.0721	0	30.775	0	30.6979	0	31.0343	0	
	RARS	Arginine--tRNA ligase, cytoplasmic	16	16	P54136	P54136	16	16	16	75.378	21.8	-0.0236238	8.84E-01	30.6739	0	30.1799	0	30.4641	0	30.5613	0	30.4382	0	30.3893	0	
	RPS20	40S ribosomal protein S20	5	5	P60866	P60866	5	5	5	13.373	26.1	-0.280739	3.87E-01	30.1074	0	30.8602	0	31.023	0	30.9007	0	30.8599	0	31.0721	0	4;8
	YWHAZ	14-3-3 protein zeta/delta	11	9	P63104	P63104	11	9	9	27.745	45.7	0.026968	9.01E-01	30.9584	0	30.6407	0	30.9514	0	31.0681	0	30.4848	0	30.9166	0	9;138
	SMC1A	Structural maintenance of chromosomes protein 1A	24	24	Q14683	Q14683	24	24	24	143.23	21.7	0.00917371	9.46E-01	30.7869	0	30.6401	0	30.4657	0	30.7433	0	30.6692	0	30.4528	0	
	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	18	16	Q04637;REV__Q8NEG2	Q04637	18;1	18;1	16;1	175.49	14.2	-0.0230223	8.40E-01	30.9323	0	30.825	0	30.6462	0	30.8945	0	30.8885	0	30.6895	0	
	MYH10	Myosin-10	38	28	P35580	P35580	38	33	28	229	24.2	0.125455	4.21E-01	30.7646	0	30.8293	0	30.8966	0	30.4349	0	30.8399	0	30.8394	0	1532;1534
	SCAMP1	Secretory carrier-associated membrane protein 1	3	3	O15126	O15126	3	3	3	37.92	10.7	-0.936333	2.81E-01	29.4088	0	30.1806	0	29.0064	0	29.13	0	31.1155	0	31.1594	0	
	H2AFY	Core histone macro-H2A.1	12	10	O75367	O75367	12	12	10	39.617	41.1	-0.145236	4.12E-01	30.6639	0	30.3388	0	30.4581	0	30.3783	0	30.7671	0	30.751	0	
	GARS	Glycine--tRNA ligase	14	14	P41250	P41250	14	14	14	83.165	21.2	0.0538241	4.57E-01	30.4544	0	30.2811	0	30.4532	0	30.3037	0	30.3196	0	30.404	0	
	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	10	7	O60506	O60506	10	10	7	69.602	20.1	-0.458663	6.64E-02	30.3203	0	29.9321	0	30.0775	0	30.3183	0	30.8166	0	30.5711	0	
	CDK1	Cyclin-dependent kinase 1	9	7	P06493;Q00526;Q00535;Q96Q40;O94921;Q07002;Q00536;Q00537;Q9NYV4;Q14004	P06493	9;2;1;1;1;1;1;1;1;1	9;2;1;1;1;1;1;1;1;1	7;0;0;0;0;0;0;0;0;0	34.095	25.9	-0.17836	2.24E-01	30.4358	0	30.5304	0	30.8202	0	30.741	0	30.8624	0	30.718	0	
	SSB	Lupus La protein	12	12	P05455	P05455	12	12	12	46.836	21.6	0.178579	1.38E-01	30.7735	0	30.4708	0	30.6814	0	30.4773	0	30.5175	0	30.3952	0	
	MAGED1	Melanoma-associated antigen D1	13	12	Q9Y5V3	Q9Y5V3	13	13	12	86.16	16.6	0.0354939	8.36E-01	30.8184	0	30.4528	0	30.3458	0	30.6354	0	30.4951	0	30.3801	0	656
	HMGB1;HMGB1P1	High mobility group protein B1;Putative high mobility group protein B1-like 1	4	4	P09429;B2RPK0;P23497	P09429;B2RPK0	4;3;1	4;3;1	4;3;1	24.893	17.2	-0.111815	6.98E-01	30.5433	0	30.8501	0	30.318	0	30.5729	0	31.1055	0	30.3685	0	
	DSP	Desmoplakin	32	32	P15924	P15924	32	32	32	331.77	11.7	-0.18181	2.79E-01	30.623	0	30.3676	0	30.8526	0	30.7213	0	30.8454	0	30.8218	0	
	SF3B2	Splicing factor 3B subunit 2	11	11	Q13435	Q13435	11	11	11	100.23	13.2	0.271525	9.23E-02	30.5351	0	30.3119	0	30.594	0	30.3193	0	30.0341	0	30.2731	0	
	TFRC	Transferrin receptor protein 1;Transferrin receptor protein 1, serum form	16	16	P02786	P02786	16	16	16	84.87	25.3	0.171122	2.55E-01	30.501	0	30.1536	0	30.4417	0	30.3333	0	30.0966	0	30.1532	0	
	KIF5B	Kinesin-1 heavy chain	21	21	P33176;O60282;Q12840	P33176	21;6;6	21;6;6	21;6;6	109.68	26.1	-0.0161616	7.45E-01	30.285	0	30.2127	0	30.2565	0	30.3477	0	30.2456	0	30.2094	0	
	CLINT1	Clathrin interactor 1	11	11	Q14677	Q14677	11	11	11	68.259	21	0.025912	9.35E-01	29.9299	0	29.9672	0	30.7588	0	30.1425	0	30.0025	0	30.4331	0	
	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	10	10	Q9BXJ9;Q6N069	Q9BXJ9	10;2	10;2	10;2	101.27	12	-0.0150503	8.94E-01	30.2179	0	30.1695	0	30.2045	0	30.4105	0	30.0548	0	30.1718	0	
	PIP5K1A	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	11	4	Q99755;O60331;O14986	Q99755	11;2;1	11;2;1	4;1;1	62.633	24.2	0.0973129	5.41E-01	30.3339	0	30.4649	0	30.0225	0	30.2435	0	30.2365	0	30.0493	0	103
	IPO5	Importin-5	17	17	O00410;O60518	O00410	17;1	17;1	17;1	123.63	22	-0.0819893	3.21E-01	30.2634	0	30.049	0	30.2499	0	30.2508	0	30.3118	0	30.2456	0	
	TUBB4B	Tubulin beta-4B chain	16	1	P68371;Q3ZCM7;A6NNZ2	P68371	16;6;5	4;1;0	1;0;0	49.83	36	0.0119534	9.49E-01	30.5387	0	30.2941	0	30.1432	0	30.1295	0	30.5668	0	30.2438	0	252
	AP2B1	AP-2 complex subunit beta	10	3	P63010	P63010	10	10	3	104.55	11.8	-0.0897363	3.36E-01	30.0388	0	30.1121	0	30.2858	0	30.2969	0	30.1683	0	30.2407	0	
	SMC3	Structural maintenance of chromosomes protein 3	18	18	Q9UQE7	Q9UQE7	18	18	18	141.54	14.9	0.31852	2.47E-01	30.027	0	30.4365	0	30.7826	0	30.0673	0	29.9627	0	30.2606	0	
	PSMD2	26S proteasome non-ATPase regulatory subunit 2	14	14	Q13200	Q13200	14	14	14	100.2	20	-0.431449	8.83E-02	29.6816	0	30.3287	0	29.8801	0	30.4268	0	30.3609	0	30.397	0	
	BRAP	BRCA1-associated protein	9	9	Q7Z569	Q7Z569	9	9	9	67.304	19.9	-0.483853	1.23E-01	29.4564	0	30.0808	0	29.267	0	30.1146	0	30.0165	0	30.1247	0	
	RDX	Radixin	18	8	P35241	P35241	18	8	8	68.563	27.4	-0.319834	8.30E-02	29.9622	0	30.0935	0	29.8066	0	30.0716	0	30.4571	0	30.2931	0	
	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	29	29	Q14204	Q14204	29	29	29	532.4	6.6	-0.063467	6.79E-01	30.4842	0	30.4427	0	30.7185	0	30.4612	0	30.5402	0	30.8345	0	
	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	6	6	O14964	O14964	6	6	6	86.191	6.4	-0.172158	5.09E-01	29.692	0	30.3416	0	29.6235	0	30.1209	0	30.1232	0	29.9295	0	
	UBE2J1	Ubiquitin-conjugating enzyme E2 J1	5	5	Q9Y385	Q9Y385	5	5	5	35.198	18.2	-0.138826	4.92E-01	30.079	0	30.4489	0	30.5813	0	30.4428	0	30.3673	0	30.7155	0	
	DNAJC7	DnaJ homolog subfamily C member 7	14	14	Q99615	Q99615	14	14	14	56.44	30.8	-0.0614039	6.00E-01	30.0844	0	30.0366	0	30.3202	0	30.2477	0	30.2926	0	30.085	0	
	TOP2B	DNA topoisomerase 2-beta	21	15	Q02880	Q02880	21	21	15	183.26	14.6	0.206432	3.73E-01	30.6096	0	30.707	0	30.196	0	30.3877	0	30.4705	0	30.0351	0	
	UPF1	Regulator of nonsense transcripts 1	15	15	Q92900	Q92900	15	15	15	124.34	14.4	0.061285	4.70E-01	30.1919	0	29.9892	0	30.0878	0	30.0414	0	29.9362	0	30.1074	0	
	RAN	GTP-binding nuclear protein Ran	9	9	P62826	P62826	9	9	9	24.423	31.5	0.356045	4.23E-01	30.3005	0	30.7494	0	30.641	0	30.7037	0	30.4477	0	29.4714	0	
	HSP90B1	Endoplasmin	13	11	P14625;Q58FF3	P14625	13;2	11;2	11;2	92.468	15.6	0.00921567	9.63E-01	30.1148	0	29.6325	0	30.2197	0	30.0893	0	29.9303	0	29.9198	0	
	APPL1	DCC-interacting protein 13-alpha	9	9	Q9UKG1;Q8NEU8	Q9UKG1	9;1	9;1	9;1	79.663	17.6	0.0214176	7.98E-01	29.9296	0	29.9708	0	30.1771	0	30.0128	0	30.0276	0	29.9728	0	
	CKB	Creatine kinase B-type	9	9	P12277	P12277	9	9	9	42.644	33.1	-0.262688	3.21E-01	30.1039	0	29.6634	0	30.0766	0	29.8567	0	30.3047	0	30.4706	0	
	TXLNG	Gamma-taxilin	13	13	Q9NUQ3;Q9BZA5	Q9NUQ3	13;1	13;1	13;1	60.585	26.9	-0.224432	2.33E-01	29.6108	0	30.1037	0	29.9232	0	30.0687	0	30.2368	0	30.0056	0	
	RBMX;RBMXL1	RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed;RNA binding motif protein, X-linked-like-1	10	10	P38159;Q96E39;O75526;Q8N7X1	P38159;Q96E39	10;7;2;1	10;7;2;1	10;7;2;1	42.331	27.6	-0.0768623	8.77E-01	29.4524	0	30.058	0	30.9883	0	30.1601	0	30.0733	0	30.4959	0	
