gene	foldChange	pValue	passFilter
RASEF	1.40158	0.991079	
GPATCH11	1.07103	0.952402	
AVL9	1.0534	1.22743	
MTMR14	1.13415	0.769295	
EHBP1	1.0854	0.73456	
FLCN	1.00716	0.73017	
IL17RD	1.07779	0.679144	
TDRD7	1.25499	0.69139	
NEDD1	1.24619	1.2151	
PARD3B	1.15891	0.884316	
FNIP1	1.06602	0.639015	
SETD7	1.30453	0.753153	
SMAP2	1.47383	0.932235	
C18orf8	1.06093	0.733083	
HOOK2	1.05006	0.73341	
EDC3	1.27181	0.96769	
TONSL	1.48696	1.05781	
SGSM3	1.28736	0.516419	
VPS39	1.03038	0.448889	
FAR2	1.40067	0.679945	
PPP1R13B	1.2304	1.08043	
KIF16B	1.7975	0.631093	
NEK1	1.25657	0.734725	
BTBD9	1.31802	0.76894	
GSDMA	1.17807	0.377242	
PPP1R9B	1.17849	0.421286	
WIBG	1.02588	0.695202	
ERP44	2.16833	1.27156	
TMED9	1.09617	0.629575	
SPATA5L1	1.77472	1.25112	
DDX24	1.0015	0.836327	
CLPB	1.7544	1.13816	
CDT1	1.05956	0.704698	
POFUT1	1.78609	0.830789	
KAT8	1.0046	0.653378	
GORASP2	1.14737	0.5941	
CWC22	1.19244	0.583932	
KIF13B	2.4368	0.505956	
TOPORS	1.32658	0.392602	
TBC1D13	1.03602	0.494073	
GID8	1.33408	0.821482	
ASB6	1.00468	0.584795	
GTSE1	1.09714	0.608404	
NUDT4	1.06048	0.984809	
CALML5	1.0625	0.644242	
EIF2AK4	1.58172	0.886836	
HECW2	1.19068	1.03883	
FEZ2	1.4093	1.22592	
LNPEP	1.01807	0.466433	
DBNL	1.19582	1.2922	
CIZ1	1.38371	1.15787	
G3BP2	1.82289	0.952933	
PPIE	1.67909	0.694142	
ZNF148	1.0279	0.599878	
GINS2	1.03167	0.893131	
POFUT2	1.39672	0.883715	
ZDHHC9	1.01334	0.606599	
KDM3A	1.00017	0.601091	
TAF6L	1.36474	0.722438	
NUMBL	1.28982	0.849368	
TTC26	0.0448329	0.101368	
UBA6	-0.180639	0.325998	
ESYT2	-0.0201524	0.0815299	
UHRF1BP1L	-0.285056	0.11834	
KIAA1598	0.229282	0.738903	
NBAS	-0.274808	0.487184	
KIAA1467	-0.974637	0.619434	
CCDC66	-0.660575	0.568863	
KIAA0922	0.290225	0.119052	
SBNO1	0.168226	0.12484	
KLRG2	0.362032	0.423133	
LCHN	-0.0407467	0.0384681	
TRAPPC13	-0.352372	0.167679	
CNOT1	-0.115551	1.09489	
C5orf51	-0.238454	0.280329	
RCCD1	0.539764	0.385451	
RBFOX3	-0.76495	0.629905	
TUBAL3	-0.567345	0.144166	
SMCHD1	-0.0869389	0.546233	
GATSL2	0.811073	0.541053	
CCDC85C	-0.118923	0.0696568	
RGPD3	0.8809	0.493338	
POM121	0.63376	1.03451	
WASH3P	0.802327	0.242963	
A2ML1	0.892331	0.599641	
DDX11L8	-0.327059	0.150674	
ZNF724P	0.248177	0.0911841	
MIF4GD	-0.907324	0.738668	
IGLC1	0.743493	0.407231	
RASA4	-0.066522	0.0248539	
NACA	0.36318	0.95359	
H7BZ55	-0.361757	0.394623	
UBXN8	0.19779	0.152607	
KIF2A	0.290837	1.28749	
ACOT7	0.169221	0.272564	
MYO1C	0.182974	0.467288	
SNAP23	-0.00038147	0.00070187	
GTPBP1	0.289647	1.14889	
AP3B1	0.125317	0.335376	
PSMD11	-0.0961246	0.12226	
PSMD12	0.0918929	0.433994	
MEN1	-0.129433	0.0320204	
PGRMC1	0.0582994	0.165919	
SUPT5H	-0.0957451	0.235657	
DFFA	0.134295	0.225271	
CLIC1	-0.0444024	0.0931449	
EIF3F	0.347133	0.682815	
WWP2	0.644857	0.214582	
CDC7	0.479298	0.555564	
WASL	0.790701	0.282741	
IPO5	-0.0369282	0.455363	
EEF2K	0.114906	0.394395	
DNM1L	0.205297	1.24533	
RTCA	0.254518	0.720167	
TRAF5	-0.256489	0.099079	
EXOC5	-0.106639	0.722417	
PSMD14	0.544427	1.27144	
KPNA3	-0.120986	0.0765592	
PES1	0.281086	0.668293	
NOP56	-0.150134	1.16523	
PODXL	-0.625535	0.315314	
KPNA4	0.303899	0.113071	
TRIM38	0.631879	0.373895	
E2F3	-0.3272	0.246783	
PPP6C	0.326964	0.110978	
PIK3C2B	0.275588	0.131008	
UBE2C	-0.35002	0.356484	
ACACB	0.501889	0.470123	
PDXK	0.589404	0.722448	
SCD	-0.792442	0.577594	
PPAP2A	0.0217304	0.0227029	
ARID1A	-0.684611	0.427692	
TMEM194A	-0.5878	0.211899	
TXNDC9	0.408265	0.620507	
CIT	0.273238	0.935587	
EIF1AX	0.431557	0.26137	
UTY	-0.928609	0.803857	
AP3D1	0.112886	0.383149	
DVL1P1	-0.958527	0.756258	
DVL2	-0.219706	0.0795527	
CHD1	-0.183151	1.03867	
GOSR2	-0.5451	0.248151	
IRS4	0.181487	0.889706	
STX16	-0.471156	0.535202	
KMT2D	0.207397	0.0403093	
APAF1	-0.641609	0.323231	
RIOK3	0.0800482	0.0215626	
CDIPT	0.433699	0.314017	
PDCD5	-0.113196	0.0951315	
CHEK1	0.138048	0.631965	
TNFRSF10B	0.0293681	0.0753722	
FPGT	0.693104	0.672356	
TCERG1	-0.0805143	0.232156	
NDC80	0.0292778	0.0517079	
KIF3C	-0.40237	0.448477	
PSMA7	-0.225643	1.26533	
SCAMP3	-0.122342	0.677061	
BACH1	-0.351217	0.327506	
GEMIN2	-0.0927194	0.0585024	
GIPC1	0.269826	0.72256	
HAT1	0.0144304	0.0338337	
CASK	0.718717	0.337532	
MYL12A	-0.237233	0.617768	
AURKA	-0.0360692	0.0361627	
CLGN	-0.046346	0.0689447	
SLC27A2	0.292407	0.225936	
GAK	0.115252	0.0607092	
AZIN1	0.261465	0.825671	
HNRNPDL	0.127812	0.50654	
BTAF1	-0.180894	0.450145	
SPTBN2	-0.203021	0.550987	
SEC16A	0.609828	0.199717	
PLXNB2	0.598106	0.335253	
U2SURP	0.196466	0.660173	
SETD1A	0.120102	0.0653706	
KIF3B	0.167498	0.316442	
PFAS	-0.000516256	0.00203308	
MCF2L	-0.285524	0.117981	
CEP290	-0.131199	0.600847	
ARHGEF11	0.463537	0.507462	
CHUK	0.0872135	0.440287	
NPC1	0.71074	0.254524	
TBX3	-0.84368	0.811567	
SCAMP1	-0.152202	0.742813	
SCAMP2	-0.150633	0.333677	
KPNA5	-0.792819	0.498377	
ARPC1B	-0.405385	0.264227	
ARPC2	-0.160574	0.655653	
ARPC3	-0.692051	0.273018	
MDM4	-0.0744432	0.216893	
PLSCR1	-0.0218703	0.0229589	
TRIM24	-0.0278333	0.0493884	
PGRMC2	0.0842285	0.0730515	
CETN3	0.245811	0.137561	
CTDSPL	-0.575101	0.316971	
PFDN6	-0.00766627	0.00576333	
NKRF	-0.115456	0.375009	
CASC3	0.202734	0.070764	
SURF4	-0.522441	0.369431	
SPTLC1	-0.00252978	0.0113123	
SPTLC2	-0.261537	0.2029	
FANCG	-0.18037	0.931242	
OGT	0.0981789	0.302603	
PMM2	-0.433795	0.289839	
CTAGE5	0.0346667	0.0434618	
MID1	0.114951	0.271137	
HMGB3	0.128711	0.320992	
PPM1G	-0.0313117	0.063588	
FANCA	-0.558758	0.571734	
EIF3D	0.107288	0.39567	
EIF3H	-0.0367114	0.175785	
NVL	-0.00430044	0.00795965	
IPO8	-0.129896	1.13742	
STX7	-0.634264	0.251457	
ABCC4	0.0368551	0.101098	
ABCC5	-0.0355161	0.203869	
PDPK1	-0.123934	0.234415	
PER1	0.128747	0.0964802	
DHX15	-0.13147	0.838065	
TTI1	0.0330582	0.0688224	
PJA2	-0.015494	0.0388481	
SIPA1L1	-0.820879	0.497696	
CYB5B	-0.160616	0.15783	
PRPF4	-0.18423	0.458905	
PHGDH	-0.131605	0.53416	
DYNC1LI2	0.660106	1.20998	
PSMD3	-0.0162404	0.033032	
PAPSS1	-0.110236	1.14783	
ZW10	-0.0938339	0.971945	
SART1	0.0186075	0.0637388	
SPINT2	-0.805765	0.499391	
GPAA1	0.96522	0.535661	
HSPA12A	0.0822646	0.0589427	
CCP110	0.203794	0.190019	
ADCY6	0.090065	0.242968	
CTIF	0.283218	0.391415	
PPIP5K2	0.400581	0.331801	
MAP3K7	0.269977	0.9057	
WDR62	0.396467	0.294193	
HNRNPR	-0.200965	0.72215	
HNRNPR	-0.835854	0.930036	
PRPF3	-0.0603415	0.189977	
TXNL1	0.350364	1.18509	
TPD52L2	0.544257	1.01021	
PRKRIR	-0.524347	0.659508	
FIBP	0.0476011	0.0173297	
EIF4G3	0.127586	0.514591	
CBFA2T2	-0.453829	0.381617	
SUV39H1	-0.128139	0.294187	
AKR7A2	0.283315	0.0631492	
EPB41L2	-0.113942	0.230393	
TGOLN2	-0.594162	0.384037	
RAD51C	-0.39208	0.760235	
MED7	-0.0725485	0.0358035	
AKAP10	-0.498533	0.257923	
DENR	-0.213104	0.120739	
TRAPPC3	-0.143496	0.144231	
TSPAN6	-0.323881	0.264986	
PLRG1	0.0333989	0.080126	
PRC1	-0.100936	0.311777	
ZNF207	-0.194562	0.222622	
ASNA1	0.0568148	0.18011	
BUB1	-0.300124	0.344871	
BUB3	0.25101	0.532376	
ACTN4	0.0537148	0.766788	
HTATSF1	-0.122566	0.234388	
AP1G1	-0.0302582	0.115079	
STX6	0.10719	0.388328	
SYNGR1	0.651851	0.326203	
SYNGR2	0.154027	0.768361	
SGTA	-0.193277	0.531429	
NARS	-0.168983	0.346391	
MYO1B	-0.0562655	0.239844	
NUDT21	-0.0405375	0.147862	
LANCL1	0.092591	0.12488	
STRN	0.0619335	0.105607	
NRD1	-0.0251757	0.0895798	
AHCYL1	-0.164316	0.355218	
KIF1C	0.319305	0.170438	
ORC5	-0.187494	0.745625	
PDE6D	0.314377	0.51524	
PEX1	-0.0116768	0.0169117	
RAD21	0.0327593	0.14632	
SSSCA1	0.599841	0.883281	
SH3BP5	-0.983248	0.630062	
MED14	-0.0552578	0.226245	
PCDH7	-0.468634	0.359429	
PRPSAP2	0.908044	0.58086	
SMARCA5	0.102299	0.311012	
ADCY3	0.353703	1.18807	
SPAG9	0.124967	0.667505	
KIF5C	0.118621	0.203865	
URB1	-0.0607045	0.378883	
MGRN1	-0.085549	0.122001	
SIPA1L3	-0.983222	0.983388	
AQR	-0.169596	0.323745	
ZEB2	-0.515685	0.779562	
MCM3AP	-0.226297	0.635091	
PIP5K1C	-0.115862	1.24991	
KIF1B	0.00995255	0.0446799	
MARCH6	0.87571	0.570546	
TBC1D4	-0.0188554	0.0547716	
PHLPP1	0.772797	0.993503	
DFNA5	0.464525	0.456638	
SNX3	-0.713319	0.521661	
STX10	0.0895583	0.250173	
MGEA5	0.00382233	0.0250394	
ADCY9	-0.0491702	0.140443	
NEMF	0.132737	0.731839	
GMDS	0.850814	0.365923	
BUB1B	-0.00840632	0.0143743	
PLOD3	0.608327	0.378202	
DIAPH1	-0.125039	0.437748	
EXOC3	0.434073	0.158479	
PLIN3	0.0952676	0.117234	
RAD1	0.351709	1.03182	
KPNA6	-0.0469844	0.157381	
SNX2	-0.138725	0.341013	
USO1	-0.0295251	0.0986828	
HIST1H2BL	-0.696614	1.26278	
PFKFB2	-0.290101	0.800126	
CCDC22	0.0879745	0.627211	
DKC1	-0.340206	0.199047	
EIF5B	0.156443	0.629142	
KIN	0.149797	0.182356	
DNAJA2	0.245367	0.824094	
BRD4	-0.36281	0.27192	
SMPD2	0.473192	0.236115	
PFDN1	-0.933278	0.64579	
NBN	0.0768305	0.165048	
RNGTT	0.60308	0.364501	
SRGAP2	-0.00550842	0.00957923	
NOS1AP	0.0767879	0.125469	
ROCK2	0.222323	0.73504	
CLASP2	0.0848446	0.0828946	
CLASP2	0.170707	0.301893	
COBL	0.0679906	0.0212986	
OBSL1	0.0143585	0.0295647	
RNF40	-0.247724	1.08741	
PHF2	0.220885	0.853898	
ZC3H11A	-0.103323	0.302422	
CLUH	0.0783157	0.440698	
CAND2	-0.0161552	0.0496056	
DNAJC13	-0.0997448	0.32056	
PHACTR2	0.841497	0.325364	
PPP6R2	0.975693	0.806695	
CNOT3	0.226744	0.5	
SIN3B	0.228397	1.19248	
TMEM127	0.230353	0.198594	
GGCT	0.332678	0.36313	
ZPR1	0.132102	0.278974	
USP12	0.482239	0.588977	
HMMR	-0.42842	1.15832	
PDCD6	0.525044	0.268817	
ALOX12B	0.665778	0.383608	
TBCA	0.396577	1.11945	
ATP6V1G1	0.369322	0.397915	
H2AFY	-0.100756	0.185005	
SH3BGRL	-0.0774384	0.0324174	
FLNB	0.112827	0.404217	
NCOR1	-0.155825	0.0725217	
CS	-0.602109	0.388243	
SPAG7	0.487665	0.587122	
SEC22B	0.00414912	0.00797897	
PRPF40A	0.147418	0.453116	
TACC1	0.283789	1.20317	
CDC45	-0.209114	0.962022	
MTX2	-0.551641	0.271793	
VPS26A	0.154958	0.556524	
MED24	-0.191534	0.197519	
KATNA1	-0.0180372	0.0389641	
PSIP1	-0.0646242	0.411865	
SRSF10	0.497473	0.309014	
EED	-0.0229073	0.0292346	
BANF1	-0.786884	0.816043	
SF3B1	-0.183705	0.454037	
CSDE1	-0.0100899	0.0344315	
PRKRA	0.361716	0.12253	
RPS6KA5	-0.18411	0.603252	
MED6	-0.155721	0.047549	
MYCBP2	0.041626	0.867905	
NPM3	0.726363	0.405851	
OFD1	-0.296347	0.115278	
PPM1B	0.10808	0.132807	
NUP155	-0.0504557	0.169996	
RP2	-0.228933	0.218068	
CRTAP	0.905331	0.646869	
PALM	0.977372	0.651357	
CDC123	-0.249833	0.838132	
CAPN15	0.356919	1.2067	
EIF3G	0.00353622	0.00984446	
EIF3J	0.507377	0.212723	
CBR3	0.173714	0.164299	
PSMD10	-0.085242	0.0952699	
ZMPSTE24	-0.492753	0.355466	
IDH1	0.0655657	0.204235	
GATB	-0.631095	0.418986	
STAM2	0.181505	0.697028	
CCNK	-0.172155	0.118427	
PIAS1	0.160337	0.184672	
PIAS2	-0.137951	0.0894887	
DNAJC8	0.254302	0.804942	
SMNDC1	0.250034	0.0987424	
RAD17	-0.0473251	0.0279042	
FLOT1	-0.10206	0.577336	
CPD	-0.0668182	0.270166	
RSL1D1	0.178746	0.246168	
WFS1	0.224758	0.0707755	
SRP72	-0.179091	1.05224	
DDAH1	-0.970601	0.855432	
RECQL4	-0.124889	0.0578983	
MTA2	-0.0444361	0.140014	
USP1	-0.0300166	0.0593546	
STK10	0.144515	0.220447	
GFPT2	-0.735931	0.264845	
ATG12	-0.190177	0.0877768	
LTN1	-0.129049	0.591764	
TOMM70A	-0.253351	0.955323	
DDHD2	-0.130418	0.766781	
MYO1D	-0.161868	0.60847	
TOX4	-0.0308329	0.0800876	
SEC24D	-0.51777	0.347698	
UFL1	-0.0459042	0.506924	
PHF14	0.833604	0.567048	
TMEM63A	-0.332846	0.216839	
UBXN7	0.00556882	0.0203288	
SUN1	-0.142096	0.220725	
PROSC	0.326705	0.15853	
ERLIN2	0.987762	0.360322	
PRPF6	-0.162078	0.873614	
PCF11	0.0358009	0.00906505	
FRY	-0.254871	0.149727	
ENDOD1	0.00506528	0.0149865	
HAUS5	0.0342356	0.115302	
FBXO21	0.114914	0.985329	
KDM4B	-0.534727	0.6831	
USP19	0.807356	0.347979	
WDR47	0.778137	0.564114	
TRIM37	0.147594	0.182884	
AP2A2	0.107368	0.6914	
SEC31A	0.289338	1.16804	
CEP152	0.150846	0.31258	
HEXIM1	0.556897	0.247191	
DIRAS1	0.835001	0.651168	
CCNB2	-0.0368048	0.0317497	
YIF1A	0.732447	0.568614	
UBR5	-0.20498	0.450891	
SCAF4	-0.247238	0.835618	
MFN2	-0.0985985	0.397765	
UBE4B	0.00437673	0.0207406	
GABARAP	-0.680663	0.267566	
RTN3	0.0623468	0.0434488	
ZRANB2	-0.353502	0.18247	
SNX4	-0.0023365	0.00260339	
ZWINT	-0.260712	0.44007	
ZWINT	0.57917	0.285383	
LUC7L3	-0.600705	0.977158	
KIF20A	-0.209943	0.754844	
KIF4A	-0.0439523	0.16937	
SBF1	0.180131	0.0828702	
GOSR1	0.00483322	0.0138775	
KAT7	-0.165797	0.271174	
TNKS	-0.226253	0.989737	
CCNDBP1	0.977579	0.311843	
VAPB	0.201843	0.0745873	
FKBP9	0.96969	0.649669	
PAPSS2	0.121849	0.730025	
ABCB11	-0.864505	0.465746	
SMC2	-0.185692	1.12051	
ATG7	-0.0643113	0.373054	
TACC2	0.296257	0.140612	
LYPLA2	0.449999	0.627034	
IPO7	0.014108	0.092778	
SLU7	-0.327881	0.124139	
PGM3	-0.124184	0.202405	
CD2BP2	-0.180857	0.108672	
ZFYVE9	0.128607	0.04276	
PARN	0.959448	0.356722	
PSMG1	-0.294839	0.402496	
SGPL1	-0.936693	0.507413	
NSA2	-0.182409	0.169759	
CBX6	0.475739	0.470299	
TDP2	-0.185339	0.441827	
SFT2D2	0.933304	0.31051	
ACSL3	-0.0377795	0.140332	
POLR1A	0.190055	0.9392	
PCNT	-0.0298258	0.106803	
YEATS4	0.224298	0.52645	
ZBTB11	0.10019	0.286092	
STAMBP	0.10337	0.17764	
POP4	-0.0528653	0.0213994	
HERC2	0.560617	0.222836	
OXSR1	0.007267	0.0148474	
GGPS1	-0.320185	0.913374	
LDOC1	0.238654	0.125366	
STARD3NL	-0.0593967	0.078773	
WIZ	0.175828	0.219235	
STAU1	0.275869	0.641612	
TTC4	0.0781053	0.304122	
BAG2	0.242386	0.717893	
BAG3	0.0546017	0.0386501	
MAP4K4	0.152479	0.28431	
LATS1	-0.939447	1.01212	
BPNT1	-0.178814	0.82799	
TXNDC12	0.734777	0.478772	
ECD	0.15073	0.236826	
MBD3	0.0429783	0.112949	
TOP3B	-0.177745	0.65424	
PAK4	0.0838788	0.0632258	
ACTL6A	0.196702	0.473728	
CCNE2	0.269786	0.135863	
LDHA	0.191308	0.463766	
DHFR	-0.934944	0.507942	
CYB5R3	-0.119228	0.525888	
MT-CO3	-0.498572	0.762049	
SOD1	-0.888617	0.288229	
PNP	0.049558	0.183805	
HPRT1	-0.0864112	0.249506	
ABL2	0.371037	0.441941	
EGFR	0.114652	0.369094	
PGK1	0.146549	0.591086	
AK1	0.121941	0.205956	
CA2	-0.162308	0.622982	
CST1	0.493612	1.07468	
CSTA	0.111956	0.14352	
HRAS	0.222493	0.106097	
KRAS	-0.847916	0.446858	
IGJ	-0.876731	0.376481	
PIGR	-0.173662	0.0402868	
IGHG1	0.244762	0.253	
IGHA1	-0.421592	0.237726	
COL1A1	0.924215	0.420237	
LMNA	-0.112041	0.300855	
FGA	0.4199	0.299374	
TFRC	-0.0576172	0.256206	
LTF	0.258666	0.502775	
FTH1	-0.509857	0.361637	
PRH1	0.271047	0.103905	
HMGCR	0.721269	0.850454	
CAT	0.364067	0.487062	
RAF1	-0.52172	0.725976	
ALDOA	0.378173	0.562001	
CSTB	0.156397	0.359328	
ANXA1	0.152276	0.502211	
KRT1	0.125922	0.160958	
TUBB4A	-0.151217	0.043732	
GAPDH	-0.0185216	0.0832925	
HLA-A	-0.856869	1.09599	
CAPNS1	0.149672	0.106566	
TP53	-0.178075	0.264027	
AMY1A	0.730198	1.10965	
RPN1	0.107101	0.832703	
RPN2	0.232669	0.38676	
GNAI2	0.175945	0.574017	
SLC4A2	-0.0335337	0.0257115	
ARG1	0.128988	0.24254	
APOD	0.0313721	0.0805674	
S100A8	0.141506	0.251818	
SLC25A6	0.801615	0.263381	
PCCA	-0.16821	0.152399	
EIF2S1	0.0723839	0.319321	
HMGN3	0.0854009	0.0355759	
RPLP0	0.0818437	0.538802	
RPLP0	0.0728302	0.0474018	
JUN	0.238793	0.712287	
POLR3D	0.409678	0.590247	
SSB	-0.0715071	0.33078	
TFAP2A	-0.159808	0.132254	
ITGB1	-0.419851	0.953977	
KRT18	0.311099	0.165348	
UROD	0.0884272	0.178639	
FYN	-0.235589	0.90941	
RB1	-0.09423	0.316691	
PTMA	-0.854871	0.223074	
S100A9	0.0222117	0.0665885	
EIF4E	-0.164686	0.119624	
ENO1	0.0492846	0.177703	
GPI	0.0842749	0.216387	
NPM1	-0.075491	0.29434	
TPM3	-0.599378	1.24008	
TPM3	-0.0278899	0.0528367	
TPM3	-0.00592868	0.00826072	
HIST2H2BE	-0.143841	0.0803284	
EPHX1	-0.164383	0.313677	
DBI	0.784445	0.35053	
LDHB	-0.0237096	0.057977	
NEFL	-0.990945	0.82963	
NEFM	-0.286742	1.02296	
H1F0	-0.139985	0.0955121	
ACYP1	-0.478578	0.303569	
CTSD	0.141512	0.15095	
ANXA2	0.0910886	0.493382	
CAPN1	-0.0426083	0.460493	
TUBB	-0.0575587	0.16992	
IVL	0.358974	0.438325	
PFN1	-0.255171	1.17333	
BPGM	-0.39185	0.390185	
EPRS	-0.0462608	0.193567	
LDHC	0.521567	0.145348	
HSP90AA1	-0.0150846	0.159012	
HNRNPC	0.420804	0.233534	
HNRNPC	0.153449	1.08879	
YES1	0.437113	0.391164	
LYN	-0.279778	0.619722	
FH	-0.896087	0.607724	
ERCC1	0.996096	1.07796	
IGF1R	-0.637699	0.439765	
ANXA6	0.0188484	0.147119	
ABCB1	0.203417	0.439744	
PFKM	0.120736	0.269695	
HSP90AB1	-0.100137	0.96282	
ASNS	-0.00828807	0.0228687	
SYP	0.196363	0.333062	
HMBS	-0.112166	0.397816	
CYC1	0.299882	0.342669	
SNRPB2	-0.0245152	0.0342582	
MET	0.658155	0.419491	
SNRNP70	0.438729	0.316626	
VIM	0.0152168	0.0491572	
GNAI3	0.0428994	0.109826	
ANXA5	0.0123355	0.0511238	
RPSA	0.230595	1.20251	
SNRPA	0.188228	0.0626772	
ENO2	0.352573	0.379425	
GSTP1	-0.0274035	0.195396	
SNRPC	0.336796	0.317246	
HMGB1	-0.0235532	0.0437178	
TPM1	-0.35787	0.538407	
TPM1	-0.316636	0.0958938	
ANXA4	0.387341	0.674681	
CNP	-0.136922	0.487303	
SNRPA1	-0.0917829	0.419552	
CTSH	-0.185308	0.0807566	
PARP1	0.0143242	0.0701796	
POLA1	0.0337766	0.0696215	
UCHL1	-0.0133718	0.023017	
LTA4H	-0.0257346	0.150014	
PABPC4L	-0.724885	0.593051	
RGPD1	0.225352	0.0881707	
HSPA1B	-0.184774	1.26427	
U2AF1	0.221827	0.312463	
CBS	-0.114566	0.204593	
P0DP25	0.269047	0.897273	
GLI3	0.454597	0.238943	
TROVE2	-0.230052	0.700833	
PRB4	-0.484174	0.227556	
MYBL2	0.127467	0.0640641	
HLA-C	-0.412971	0.257884	
PTPRF	-0.041818	0.126949	
TXN	-0.544165	0.74778	
KIT	-0.198374	0.112856	
ESD	0.232993	0.527339	
HSPD1	-0.352596	0.733082	
HSPA8	-0.038161	0.362863	
SLC2A1	-0.868936	0.557785	
EPB41	0.0855198	0.252921	
UMPS	0.0624593	0.0236303	
PYGB	0.293208	0.987665	
RALA	-0.00478109	0.00902402	
LAMP1	0.3385	0.12751	
FGFR1	-0.549013	0.184742	
TOP1	-0.0539112	0.149466	
TOP2A	0.0248362	0.326842	
G6PD	0.283831	0.993501	
UBL4A	-0.185505	0.0593517	
DMD	0.104099	0.0216829	
MTHFD1	-0.163916	1.28423	
IGF2R	0.0263716	0.138209	
ADH5	0.161679	0.341794	
CDK4	0.0284971	0.0448104	
PCNA	-0.22086	1.02741	
HARS	0.312864	0.858549	
COL6A1	0.354554	0.483775	
TPR	-0.117533	0.905007	
PIP	-0.0506846	0.0736538	
CKB	0.0404746	0.248996	
SKI	-0.50128	0.392413	
SKIL	-0.0716731	0.166028	
ACTN1	0.101794	0.610329	
PEPD	0.261134	0.985047	
XRCC6	-0.0528259	0.790944	
UNG	-0.949982	0.98115	
IFITM1	0.246668	0.126441	
LAMP2	-0.11606	0.645196	
RNH1	0.427484	0.349131	
NCAM1	-0.129043	0.249669	
EEF2	-0.0164452	0.414446	
P4HA1	0.288069	0.371672	
APEH	-0.040734	0.190185	
GYS1	0.123622	0.419716	
PRKAR2A	-0.144313	0.494112	
GTF2F2	0.0625172	0.0367775	
MIF	-0.212752	0.146119	
CD99	-0.601582	0.414618	
FDPS	-0.0703176	0.12571	
AKR1A1	0.174269	0.113635	
PKM	-0.11451	0.212198	
PKM	-0.245376	0.47812	
SNRPB	0.298164	0.818844	
IDE	-0.209574	1.25048	
HNRNPL	-0.0241025	0.0345842	
DARS	-0.125413	0.384849	
JUP	-0.0764675	0.129751	
BRAF	0.812986	0.64158	
AKR1B1	0.211801	0.418326	
GSPT1	-0.0594972	0.17728	
IFNGR1	0.0265853	0.178176	
EZR	-0.0294762	0.186199	
UCHL3	0.51845	1.12595	
NME1	0.195215	0.038862	
RPS2	-0.05023	0.258616	
DSP	-0.160431	0.69148	
RPA2	-0.285362	0.568714	
NQO2	-0.35803	0.173624	
CBR1	0.37886	0.778942	
CREB1	-0.677266	0.270566	
HIST1H1C	-0.0696265	0.165996	
POR	-0.127743	0.891943	
FER	-0.0558872	0.0233127	
ATP2A2	-0.13689	0.186815	
PLCG2	0.109704	0.0560361	
FAH	-0.462716	0.314945	
YBX3	0.273106	0.629407	
ZFX	-0.27724	0.16867	
ZNF24	0.141944	0.152222	
ZKSCAN1	-0.404867	0.322603	
GOT1	0.563395	0.278461	
GJA1	0.381814	0.136618	
UBTF	-0.102219	0.429693	
HOXB9	0.533611	0.170407	
PRKACA	0.0317987	0.113143	
CAPN2	-0.175044	1.07987	
AMD1	-0.273856	0.182416	
CTPS1	-0.166602	0.684599	
PSMC3	-0.0125618	0.103151	
PTPN1	0.384134	1.09046	
ERCC2	0.158276	0.989602	
ARF4	0.0745366	0.136256	
RPL7	0.273962	0.395389	
VCL	-0.255194	1.10079	
PTPRA	0.516438	0.951562	
SON	0.240838	0.580509	
RCC1	0.376643	0.360197	
ATF4	-0.963595	0.416008	
ATF6	-0.285379	0.156716	
LIG1	0.319583	0.101138	
XRCC1	-0.194356	0.0858357	
CDH2	0.151295	0.464825	
PLCG1	0.266008	1.21263	
NCL	0.00494639	0.0185874	
POLR2C	-0.084451	0.0431397	
POLR2E	0.408598	0.210614	
EIF2AK2	0.233505	0.827621	
SRM	0.293407	0.812241	
CSNK2A2	0.0969226	0.437088	
ATP2B1	-0.246491	1.08894	
EIF2S2	0.476721	1.07502	
ANXA7	0.274437	0.400941	
TBP	0.0486298	0.0181557	
MSH3	-0.928328	0.802401	
PSMB1	-0.724652	0.342961	
LMNB1	-0.391583	1.15546	
CAST	0.387544	0.794919	
IMPDH1	0.560218	1.22297	
CDK11A	0.989053	0.723419	
GSTM3	0.534438	0.136531	
ATP6V1C1	0.545137	1.05889	
FLNA	0.0991503	0.480692	
NF1	0.030824	0.0345718	
ACO1	0.012029	0.0165647	
SYT1	0.243334	0.871875	
VDAC1	0.237361	1.02884	
FGFR2	-0.181634	0.0711082	
OSBP	-0.084643	0.605082	
PCMT1	0.00520515	0.0112388	
FBL	-0.0309258	0.0597476	
GART	-0.0354118	0.238445	
UBA1	-0.500907	0.926997	
NME2	-0.1873	0.340278	
ENPP1	0.316388	0.15989	
HNRNPA2B1	0.206532	0.91984	
PRKACB	0.299416	0.296277	
TGM1	0.240937	0.352309	
XPA	-0.498437	0.386982	
TCEA1	-0.354706	0.975047	
SFPQ	-0.0569604	0.521803	
WARS	0.209042	0.980062	
RPS3	0.185811	0.799254	
JAK1	-0.0925001	0.312997	
PTPRG	0.500212	0.57986	
MCC	0.0151857	0.0207192	
AHCY	-0.16849	0.437717	
EIF4B	0.519656	0.727663	
ATP2B4	-0.889618	0.339924	
DTYMK	-0.99308	0.439843	
NR2F2	-0.132765	0.165728	
GADD45A	-0.745246	0.430772	
EEF1B2	0.190113	1.2419	
PRKCH	0.0979366	0.230084	
