Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
PAPSS1	PAPSS1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	19	19	O43252	O43252	19	19	19	70.832	37	0.93	7.1E-02	29.7903	0	29.8252	0	29.9048	0	29.9272	0	29.9143	0	30.0096	0	
UBR1	UBR1	E3 ubiquitin-protein ligase UBR1	24	24	Q8IWV7;Q8IWV7-2	Q8IWV7;Q8IWV7-2	24;14	24;14	24;14	200.21	15.4	0.93	6.3E-02	30.1841	0	30.2287	0	30.1421	0	30.2507	0	30.2625	0	30.3503	0	
USP15	USP15	Ubiquitin carboxyl-terminal hydrolase 15	25	24	Q9Y4E8-2;Q9Y4E8-3;Q9Y4E8;Q9Y4E8-4	Q9Y4E8-2;Q9Y4E8-3;Q9Y4E8	25;25;25;9	25;25;25;9	24;24;24;9	109.3	30.4	1.12	1.9E-01	29.94	0	30.233	0	29.931	0	29.914	0	29.8997	0	29.7846	0	
MYL12A	MYL12A;MYL12B;MYL9	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	7	7	P19105;O14950;P24844;P24844-2	P19105;O14950;P24844	7;7;5;3	7;7;5;3	7;7;5;3	19.794	50.9	0.85	2.4E-01	29.297	0	29.1888	0	29.6046	0	29.4034	0	29.8158	0	29.583	0	
HOOK1	HOOK1	Protein Hook homolog 1	20	20	Q9UJC3-2;Q9UJC3	Q9UJC3-2;Q9UJC3	20;20	20;20	20;20	80.021	30.8	0.99	8.9E-01	29.9045	0	29.9428	0	29.6955	0	29.8153	0	29.9835	0	29.7893	0	
API5	API5	Apoptosis inhibitor 5	11	11	Q9BZZ5-2;Q9BZZ5;Q9BZZ5-3;Q9BZZ5-5;Q9BZZ5-6;Q9BZZ5-1	Q9BZZ5-2;Q9BZZ5;Q9BZZ5-3;Q9BZZ5-5;Q9BZZ5-6;Q9BZZ5-1	11;10;9;8;8;6	11;10;9;8;8;6	11;10;9;8;8;6	56.769	26.6	1.03	6.7E-01	29.8358	0	29.6211	0	29.6333	0	29.5931	0	29.7686	0	29.6052	0	
SMARCA1	SMARCA1	Probable global transcription activator SNF2L1	35	22	P28370;P28370-2	P28370;P28370-2	35;33	22;20	22;20	122.6	29.9	0.99	8.5E-01	30.018	0	30.1961	0	30.1369	0	30.1064	0	30.2929	0	30.0111	0	944
AKR1B1	AKR1B1	Aldose reductase	8	8	P15121;C9JRZ8;C9JRZ8-2	P15121	8;1;1	8;1;1	8;1;1	35.853	36.7	1.16	3.8E-01	29.1944	0	29.7228	0	29.5071	0	29.0841	0	29.5644	0	29.1403	0	
SIN3A	SIN3A	Paired amphipathic helix protein Sin3a	30	30	Q96ST3	Q96ST3	30	30	30	145.17	25.4	0.90	2.6E-01	29.9943	0	30.3723	0	30.2613	0	30.4025	0	30.3812	0	30.3001	0	
NUDT21	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	10	10	O43809	O43809	10	10	10	26.227	40.1	0.97	7.1E-01	29.3912	0	29.4887	0	29.2569	0	29.3263	0	29.5717	0	29.3603	0	
DIP2B	DIP2B	Disco-interacting protein 2 homolog B	33	30	Q9P265	Q9P265	33	33	30	171.49	24.7	1.12	4.5E-01	30.2252	0	30.6219	0	30.1672	0	30.0865	0	30.436	0	30.0052	0	
SYMPK	SYMPK	Symplekin	30	30	Q92797;Q92797-2	Q92797;Q92797-2	30;16	30;16	30;16	141.15	34.7	0.91	2.1E-01	30.0196	0	30.2769	0	30.2501	0	30.2424	0	30.368	0	30.3335	0	
EIF3G	EIF3G	Eukaryotic translation initiation factor 3 subunit G	9	9	O75821	O75821	9	9	9	35.611	24.1	1.00	9.8E-01	29.4812	0	29.3648	0	29.6111	0	29.4231	0	29.3562	0	29.6672	0	
SPDL1	SPDL1	Protein Spindly	15	15	Q96EA4;Q96EA4-3;Q96EA4-2	Q96EA4;Q96EA4-3;Q96EA4-2	15;13;12	15;13;12	15;13;12	70.171	26.3	0.91	3.7E-01	29.6753	0	29.6299	0	29.4627	0	29.7925	0	29.8752	0	29.5001	0	
PLS1	PLS1	Plastin-1	21	17	Q14651;P13796-2	Q14651	21;1	18;1	17;0	70.253	45.6	1.06	4.3E-01	29.8129	0	29.989	0	29.7772	0	29.6621	0	29.8683	0	29.8122	0	623
ATP1B3	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3	6	6	P54709;P54709-2	P54709;P54709-2	6;4	6;4	6;4	31.512	26.5	1.04	6.4E-01	29.3942	0	29.6005	0	29.2731	0	29.4244	0	29.3971	0	29.2858	0	
MARK2	MARK2	Serine/threonine-protein kinase MARK2	21	18	Q7KZI7-16;Q7KZI7-4;Q7KZI7-9;Q7KZI7-8;Q7KZI7;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-15;Q7KZI7-5;Q7KZI7-11;Q7KZI7-10;Q7KZI7-12	Q7KZI7-16;Q7KZI7-4;Q7KZI7-9;Q7KZI7-8;Q7KZI7;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-14;Q7KZI7-3;Q7KZI7-6;Q7KZI7-15;Q7KZI7-5;Q7KZI7-11;Q7KZI7-10;Q7KZI7-12	21;21;21;21;21;20;20;20;20;20;20;18;18;18;17;17	21;21;21;21;21;20;20;20;20;20;20;18;18;18;17;17	18;18;18;18;18;17;17;17;17;17;17;15;15;15;14;14	81.208	33.6	1.08	6.0E-01	29.7856	0	30.0083	0	29.5175	0	29.4752	0	29.9516	0	29.5329	0	
KIFAP3	KIFAP3	Kinesin-associated protein 3	12	12	Q92845-2;Q92845-3;Q92845;Q92845-4	Q92845-2;Q92845-3;Q92845;Q92845-4	12;12;12;10	12;12;12;10	12;12;12;10	86.289	21	0.87	2.2E-01	29.709	0	30.0873	0	29.8561	0	30.1744	0	30.1349	0	29.9307	0	
CBS	CBS	Cystathionine beta-synthase	11	11	P0DN79;P35520;P35520-2	P0DN79;P35520;P35520-2	11;11;11	11;11;11	11;11;11	60.586	23.4	0.92	6.2E-01	29.875	0	29.2117	0	29.2918	0	29.4639	0	29.6383	0	29.6199	0	
TALDO1	TALDO1	Transaldolase	11	11	P37837	P37837	11	11	11	37.54	31.2	1.09	5.0E-01	29.5364	0	29.2172	0	29.3167	0	29.5082	0	29.0251	0	29.1481	0	130;277
INTS3	INTS3	Integrator complex subunit 3	19	19	Q68E01-2;Q68E01;Q68E01-3;Q68E01-4	Q68E01-2;Q68E01;Q68E01-3	19;19;12;3	19;19;12;3	19;19;12;3	118.01	21.2	1.04	7.4E-01	29.8515	0	30.2318	0	29.9474	0	29.7137	0	30.1848	0	29.9452	0	
OSBP	OSBP	Oxysterol-binding protein 1	15	15	P22059;Q969R2-5;Q969R2-4;Q969R2-6;Q969R2-3;Q969R2-2;Q969R2	P22059	15;1;1;1;1;1;1	15;1;1;1;1;1;1	15;1;1;1;1;1;1	89.42	20.2	0.94	2.5E-01	29.6269	0	29.5902	0	29.5131	0	29.5951	0	29.7661	0	29.623	0	
NPM1	NPM1	Nucleophosmin	6	6	P06748-2;P06748;P06748-3	P06748-2;P06748;P06748-3	6;6;5	6;6;5	6;6;5	29.464	29.8	0.95	5.1E-01	29.3893	0	29.123	0	29.2981	0	29.2232	0	29.3535	0	29.4601	0	210
HLTF	HLTF	Helicase-like transcription factor	26	26	Q14527;Q14527-2	Q14527;Q14527-2	26;23	26;23	26;23	113.93	29.6	1.00	9.8E-01	30.1276	0	30.1057	0	29.8889	0	29.888	0	30.1049	0	30.1202	0	
NUDT5	NUDT5	ADP-sugar pyrophosphatase	12	12	Q9UKK9	Q9UKK9	12	12	12	24.327	53	0.86	1.2E-01	29.2141	0	29.0465	0	29.4024	0	29.3534	0	29.4955	0	29.4641	0	
EIF3M	EIF3M	Eukaryotic translation initiation factor 3 subunit M	8	8	Q7L2H7;Q7L2H7-2	Q7L2H7;Q7L2H7-2	8;6	8;6	8;6	42.502	29.7	0.89	3.1E-01	28.9132	0	29.4128	0	29.1394	0	29.266	0	29.3808	0	29.3301	0	
UBE2H	UBE2H	Ubiquitin-conjugating enzyme E2 H	5	5	P62256;P62256-2	P62256;P62256-2	5;4	5;4	5;4	20.655	27.9	0.39	6.5E-02	27.7307	0	28.0067	0	29.3054	0	30.1177	0	29.5816	0	29.3826	0	
CCDC47	CCDC47	Coiled-coil domain-containing protein 47	10	10	Q96A33;Q96A33-2	Q96A33;Q96A33-2	10;9	10;9	10;9	55.873	21.7	1.16	2.2E-01	29.816	0	30.0275	0	29.5824	0	29.5278	0	29.7359	0	29.5188	0	
KIF3A	KIF3A	Kinesin-like protein KIF3A	17	16	Q9Y496;Q6ZMV9-3;Q6ZMV9	Q9Y496	17;1;1	16;0;0	16;0;0	80.04	29	0.91	2.6E-01	29.5003	0	29.723	0	29.7911	0	29.7843	0	29.8794	0	29.7357	0	
NOP56	NOP56	Nucleolar protein 56	17	17	O00567	O00567	17	17	17	66.049	36.9	0.90	6.8E-02	29.6831	0	29.8217	0	29.6803	0	29.8013	0	29.9173	0	29.917	0	
MRE11A	MRE11A	Double-strand break repair protein MRE11A	17	17	P49959;P49959-3;P49959-2	P49959;P49959-3;P49959-2	17;17;16	17;17;16	17;17;16	80.592	29.8	0.96	1.3E-01	29.6466	0	29.5729	0	29.6529	0	29.6548	0	29.6827	0	29.6988	0	
MBNL1	MBNL1;MBNL2	Muscleblind-like protein 1;Muscleblind-like protein 2	2	2	Q9NR56-3;Q9NR56-4;Q9NR56-7;Q9NR56-6;Q9NR56-2;Q9NR56-5;Q9NR56;Q5VZF2-3;Q5VZF2-2;Q5VZF2	Q9NR56-3;Q9NR56-4;Q9NR56-7;Q9NR56-6;Q9NR56-2;Q9NR56-5;Q9NR56;Q5VZF2-3;Q5VZF2-2;Q5VZF2	2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;1;1;1	2;2;2;2;2;2;2;1;1;1	33.05	6.3	0.95	8.4E-01	23.2422	1	24.2325	1	24.2135	1	23.8841	1	24.0853	1	23.9373	0	
SERPINB3	SERPINB3	Serpin B3	13	6	P29508;P29508-2	P29508;P29508-2	13;10	13;10	6;5	44.564	41.5	1.11	5.8E-01	30.3295	0	29.5582	0	29.802	0	29.9307	0	29.5619	0	29.7405	0	
UBR5	UBR5	E3 ubiquitin-protein ligase UBR5	42	41	O95071-2;O95071	O95071-2;O95071	42;42	42;42	41;41	309.22	19.3	0.87	3.5E-01	29.984	0	29.9205	0	30.1559	0	30.5715	0	30.1524	0	29.9514	0	
DDI2	DDI2	Protein DDI1 homolog 2	10	10	Q5TDH0;Q5TDH0-3;Q5TDH0-2	Q5TDH0;Q5TDH0-3;Q5TDH0-2	10;10;9	10;10;9	10;10;9	44.522	33.6	1.33	1.1E-01	29.7885	0	29.2759	0	29.871	0	29.3178	0	29.0922	0	29.2995	0	153
PAFAH1B1	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha	9	9	P43034;P43034-2	P43034	9;3	9;3	9;3	46.637	29.8	1.07	6.3E-01	29.5229	0	29.5151	0	28.9944	0	29.3259	0	29.3203	0	29.0808	0	
UCHL1	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	7	7	P09936	P09936	7	7	7	24.824	39.9	0.99	9.5E-01	29.3045	0	29.49	0	29.006	0	29.097	0	29.5398	0	29.2039	0	
ZC3HAV1	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	18	18	Q7Z2W4;Q7Z2W4-2;Q7Z2W4-4;Q7Z2W4-3;Q7Z2W4-5	Q7Z2W4;Q7Z2W4-2;Q7Z2W4-4	18;12;10;7;4	18;12;10;7;4	18;12;10;7;4	101.43	24.3	1.16	2.0E-01	29.9168	0	29.9293	0	29.58	0	29.6623	0	29.6862	0	29.4347	0	
CYFIP1	CYFIP1	Cytoplasmic FMR1-interacting protein 1	33	15	Q7L576;Q7L576-2;Q7L576-3	Q7L576;Q7L576-2	33;19;12	33;19;12	15;9;7	145.18	30.4	0.95	3.4E-01	30.0402	0	29.9386	0	30.058	0	29.9669	0	30.1683	0	30.141	0	
RPL13	RPL13	60S ribosomal protein L13	6	6	P26373;P26373-2	P26373;P26373-2	6;4	6;4	6;4	24.261	29.4	1.19	2.3E-01	29.5729	0	29.9271	0	29.4452	0	29.1978	0	29.569	0	29.4167	0	
SRRT	SRRT	Serrate RNA effector molecule homolog	12	12	Q9BXP5-5;Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5	Q9BXP5-5;Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5	12;12;12;12;12	12;12;12;12;12	12;12;12;12;12	96.221	14.9	1.06	6.1E-01	29.7006	0	29.9878	0	29.6958	0	29.7321	0	29.8982	0	29.5059	0	
COPS7B	COPS7B	COP9 signalosome complex subunit 7b	7	7	Q9H9Q2;Q9H9Q2-2;Q9H9Q2-3	Q9H9Q2;Q9H9Q2-2	7;4;3	7;4;3	7;4;3	29.622	28.8	1.11	4.9E-01	29.0912	0	29.5082	0	29.181	0	28.8407	0	29.3061	0	29.1996	0	221
YWHAH	YWHAH	14-3-3 protein eta	9	5	Q04917	Q04917	9	5	5	28.218	35	0.95	6.9E-01	29.2407	0	29.4923	0	28.9518	0	29.236	0	29.5093	0	29.181	0	50
UBE2R2	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	8	7	Q712K3	Q712K3	8	8	7	27.166	25.6	1.15	1.3E-01	29.5509	0	29.727	0	29.5696	0	29.5925	0	29.3113	0	29.3314	0	
RPL4	RPL4	60S ribosomal protein L4	11	11	P36578	P36578	11	11	11	47.697	27.2	0.86	2.1E-01	29.8485	0	29.6616	0	29.629	0	29.8219	0	30.1705	0	29.7808	0	294
CBR1	CBR1	Carbonyl reductase [NADPH] 1	10	8	P16152;P16152-2	P16152;P16152-2	10;8	10;8	8;6	30.375	44	1.30	1.7E-01	29.4516	0	29.6824	0	29.0794	0	29.0116	0	29.2736	0	28.7915	0	
CCDC93	CCDC93	Coiled-coil domain-containing protein 93	18	18	Q567U6	Q567U6	18	18	18	73.197	29.2	1.12	3.0E-01	29.7508	0	29.9734	0	29.6993	0	29.6422	0	29.8329	0	29.4389	0	
CUEDC2	CUEDC2	CUE domain-containing protein 2	5	5	Q9H467	Q9H467	5	5	5	32.009	21.3	1.21	2.6E-01	29.4282	0	29.6012	0	29.6408	0	29.3355	0	28.9296	0	29.5973	0	
RFC3	RFC3	Replication factor C subunit 3	10	10	P40938;P40938-2	P40938;P40938-2	10;8	10;8	10;8	40.556	30.9	0.85	3.5E-01	29.2184	0	29.4623	0	28.8431	0	29.4428	0	29.5862	0	29.1842	0	7
GOLGA2	GOLGA2	Golgin subfamily A member 2	22	22	Q08379;Q08379-2;Q9NVV4-2	Q08379;Q08379-2	22;16;1	22;16;1	22;16;1	113.08	27.7	0.97	7.8E-01	29.9723	0	30.1612	0	29.9691	0	29.8315	0	30.3001	0	30.1036	0	
STRAP	STRAP	Serine-threonine kinase receptor-associated protein	11	11	Q9Y3F4;Q9Y3F4-2	Q9Y3F4;Q9Y3F4-2	11;11	11;11	11;11	38.438	40.6	1.12	4.1E-01	29.1931	0	29.6356	0	29.0625	0	29.0922	0	29.2318	0	29.0698	0	
NCAPD2	NCAPD2	Condensin complex subunit 1	29	29	Q15021	Q15021	29	29	29	157.18	27	1.00	9.6E-01	30.0162	0	30.188	0	30.0266	0	29.9828	0	30.2596	0	29.9716	0	
IPO8	IPO8	Importin-8	17	17	O15397;O15397-2	O15397;O15397-2	17;12	17;12	17;12	119.94	22.8	0.91	7.3E-02	29.5307	0	29.6669	0	29.5828	0	29.7925	0	29.6701	0	29.7075	0	
TTYH3	TTYH3	Protein tweety homolog 3	7	7	Q9C0H2-2;Q9C0H2;Q9C0H2-4;Q9C0H2-3	Q9C0H2-2;Q9C0H2;Q9C0H2-4;Q9C0H2-3	7;7;6;5	7;7;6;5	7;7;6;5	54.139	16.5	1.10	3.2E-01	29.8927	0	29.8894	0	29.7842	0	29.7501	0	29.9031	0	29.5108	0	
RNF216	RNF216	E3 ubiquitin-protein ligase RNF216	16	16	Q9NWF9;Q9NWF9-1;Q9NWF9-3	Q9NWF9;Q9NWF9-1;Q9NWF9-3	16;16;9	16;16;9	16;16;9	99.405	20.7	0.85	8.3E-02	29.7887	0	29.9874	0	29.9037	0	29.9898	0	30.2952	0	30.123	0	
CTNNB1	CTNNB1	Catenin beta-1	17	15	P35222;P35222-2	P35222	17;2	15;1	15;1	85.496	27.1	1.13	6.8E-02	29.7529	0	29.8503	0	29.8799	0	29.6445	0	29.7592	0	29.5558	0	
TGM3	TGM3	Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain	15	15	Q08188	Q08188	15	15	15	76.631	25.4	1.14	5.5E-01	30.0505	0	30.0129	0	29.3346	0	29.8291	0	29.2637	0	29.7413	0	
TRIM11	TRIM11	E3 ubiquitin-protein ligase TRIM11	10	10	Q96F44-3;Q96F44;Q96F44-2;Q6AZZ1-2;O00481-4;Q6AZZ1;O00481;Q13410;O00478-2;O00478	Q96F44-3;Q96F44;Q96F44-2	10;10;7;1;1;1;1;1;1;1	10;10;7;1;1;1;1;1;1;1	10;10;7;1;1;1;1;1;1;1	52.645	25.3	1.01	8.3E-01	29.5952	0	29.7535	0	29.628	0	29.657	0	29.7098	0	29.5649	0	
FYN	FYN	Tyrosine-protein kinase Fyn	8	3	P06241;P06241-3;P06241-2;P06239;P09769;P06239-3	P06241;P06241-3;P06241-2	8;7;7;1;1;1	8;7;7;1;1;1	3;2;2;0;0;0	60.761	16.6	0.85	1.2E-01	29.4079	0	29.5793	0	29.2746	0	29.6429	0	29.52	0	29.8057	0	
POLE	POLE	DNA polymerase epsilon catalytic subunit A	39	39	Q07864	Q07864	39	39	39	261.51	22.7	0.90	7.3E-02	29.9807	0	30.062	0	29.9306	0	30.123	0	30.0647	0	30.2258	0	
KIF4A	KIF4A	Chromosome-associated kinesin KIF4A	27	26	O95239-2;O95239;Q2VIQ3	O95239-2;O95239	27;27;12	27;27;12	26;26;11	128.46	27.5	0.97	6.8E-01	29.8468	0	30.078	0	29.9568	0	30.0513	0	30.0986	0	29.8636	0	
RPL7	RPL7	60S ribosomal protein L7	10	10	P18124	P18124	10	10	10	29.225	34.7	1.21	4.0E-01	29.8631	0	29.3156	0	29.3062	0	29.1142	0	29.6577	0	28.8912	0	
TBCE	TBCE	Tubulin-specific chaperone E	17	16	Q15813;Q15813-2	Q15813;Q15813-2	17;16	17;16	16;15	59.345	44	1.02	7.6E-01	29.5002	0	29.4021	0	29.1976	0	29.4033	0	29.3408	0	29.2583	0	
EHD4	EHD4	EH domain-containing protein 4	20	15	Q9H223	Q9H223	20	20	15	61.174	41.4	1.02	9.5E-01	29.9044	0	29.7258	0	28.9429	0	29.2907	0	29.6129	0	29.6048	0	
DNAJB2	DNAJB2	DnaJ homolog subfamily B member 2	10	9	P25686;P25686-2	P25686;P25686-2	10;9	10;9	9;8	35.58	39.2	0.82	5.0E-01	29.5467	0	28.2744	0	29.3387	0	29.3383	0	29.3972	0	29.2943	0	
COPS7A	COPS7A	COP9 signalosome complex subunit 7a	9	9	Q9UBW8	Q9UBW8	9	9	9	30.276	32.4	1.02	9.3E-01	29.2461	0	29.47	0	28.8221	0	29.1624	0	29.3781	0	28.9328	0	107
EIF2S2	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	14	14	P20042	P20042	14	14	14	38.388	37.8	1.39	8.4E-02	29.4755	0	29.3429	0	29.6205	0	29.0503	0	28.6485	0	29.31	0	52
AZIN1	AZIN1	Antizyme inhibitor 1	7	7	O14977	O14977	7	7	7	49.535	19.4	1.20	1.5E-01	29.8897	0	29.8507	0	29.5683	0	29.3691	0	29.7168	0	29.4385	0	
DEK	DEK	Protein DEK	9	9	P35659;P35659-2	P35659;P35659-2	9;7	9;7	9;7	42.674	30.9	1.10	7.5E-01	29.3949	0	30.2142	0	28.8432	0	29.143	0	29.4631	0	29.4322	0	
PTOV1	PTOV1	Prostate tumor-overexpressed gene 1 protein	11	11	Q86YD1;Q86YD1-3;Q86YD1-2;Q71SY5-6;Q71SY5-5;Q71SY5;Q71SY5-2;Q71SY5-4;Q71SY5-3	Q86YD1;Q86YD1-3;Q86YD1-2	11;7;7;1;1;1;1;1;1	11;7;7;1;1;1;1;1;1	11;7;7;1;1;1;1;1;1	46.868	31.5	1.15	1.6E-01	29.7361	0	29.8988	0	29.6186	0	29.4114	0	29.7039	0	29.5251	0	
PI4KA	PI4KA	Phosphatidylinositol 4-kinase alpha	38	38	P42356;P42356-2;A4QPH2;A4QPH2-4;A4QPH2-2;Q8N8J0	P42356	38;14;5;4;3;2	38;14;5;4;3;2	38;14;5;4;3;2	236.83	20.5	1.06	5.1E-01	30.2145	0	30.2026	0	29.878	0	30.0545	0	30.0772	0	29.8961	0	
PAF1	PAF1	RNA polymerase II-associated factor 1 homolog	14	14	Q8N7H5-3;Q8N7H5;Q8N7H5-2	Q8N7H5-3;Q8N7H5;Q8N7H5-2	14;14;13	14;14;13	14;14;13	55.472	36.7	0.97	7.0E-01	29.5445	0	29.7416	0	29.527	0	29.6024	0	29.847	0	29.514	0	
GLYR1	GLYR1	Putative oxidoreductase GLYR1	12	12	Q49A26-2;Q49A26-3;Q49A26;Q49A26-5;Q49A26-4	Q49A26-2;Q49A26-3;Q49A26;Q49A26-5;Q49A26-4	12;12;12;11;9	12;12;12;11;9	12;12;12;11;9	58.636	28.7	1.00	9.7E-01	29.6404	0	29.4484	0	29.2785	0	29.2948	0	29.4472	0	29.6442	0	
MORF4L2	MORF4L2	Mortality factor 4-like protein 2	14	11	Q15014	Q15014	14	11	11	32.307	63.5	0.92	5.3E-01	29.1102	0	29.3957	0	28.9794	0	29.1971	0	29.5197	0	29.1264	0	116
FXR1	FXR1	Fragile X mental retardation syndrome-related protein 1	14	12	P51114;P51114-2;P51114-3	P51114;P51114-2;P51114-3	14;12;11	13;11;10	12;10;9	69.72	25.9	1.02	8.1E-01	29.5668	0	29.5597	0	29.3887	0	29.3467	0	29.6129	0	29.4798	0	325
WDR6	WDR6	WD repeat-containing protein 6	19	19	Q9NNW5	Q9NNW5	19	19	19	121.72	22.8	0.93	2.0E-01	29.5836	0	29.6872	0	29.7231	0	29.8391	0	29.6707	0	29.778	0	
RPLP0	RPLP0;RPLP0P6	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	8	1	P05388;Q8NHW5	P05388;Q8NHW5	8;5	8;5	1;1	34.273	34.7	1.06	2.9E-01	29.2866	0	29.2079	0	29.1412	0	29.1414	0	29.0344	0	29.2143	0	
PRKG1	PRKG1	cGMP-dependent protein kinase 1	3	3	Q13976;Q13976-3;Q13976-2	Q13976;Q13976-3;Q13976-2	3;2;2	3;2;2	3;2;2	76.364	5.7	0.85	9.2E-01	24.4231	1	29.4258	0	29.552	0	24.9376	1	29.3635	0	29.8241	0	
UBE4A	UBE4A	Ubiquitin conjugation factor E4 A	16	16	Q14139;Q14139-2	Q14139;Q14139-2	16;16	16;16	16;16	122.56	20.4	0.96	1.9E-01	29.96	0	29.9356	0	29.8908	0	29.9266	0	30.0227	0	30.0061	0	
LLGL1	LLGL1	Lethal(2) giant larvae protein homolog 1	15	15	Q15334	Q15334	15	15	15	115.42	18.4	1.09	5.5E-01	29.6202	0	29.9573	0	29.4041	0	29.5917	0	29.6923	0	29.3111	0	
TXNL1	TXNL1	Thioredoxin-like protein 1	11	11	O43396	O43396	11	11	11	32.251	51.2	1.27	6.5E-02	29.4338	0	29.7248	0	29.5651	0	29.1114	0	29.4455	0	29.1158	0	104
NCAPH	NCAPH	Condensin complex subunit 2	12	12	Q15003;Q15003-2	Q15003;Q15003-2	12;10	12;10	12;10	82.562	22.5	1.08	1.3E-01	29.7319	0	29.6158	0	29.6406	0	29.492	0	29.5418	0	29.636	0	
FKBP3	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	6	6	Q00688	Q00688	6	6	6	25.177	30.8	1.13	5.1E-01	29.164	0	29.4499	0	29.0907	0	29.0246	0	29.4537	0	28.6914	0	
SSSCA1	SSSCA1	Sjoegren syndrome/scleroderma autoantigen 1	3	3	O60232	O60232	3	3	3	21.474	16.1	1.52	1.3E-01	29.4413	0	29.422	0	29.0379	0	29.1105	0	28.8455	0	28.1456	0	
CSNK1A1	CSNK1A1	Casein kinase I isoform alpha	11	11	P48729;P48729-2;P48729-3;Q8N752	P48729;P48729-2;P48729-3	11;10;9;5	11;10;9;5	11;10;9;5	38.914	40.4	1.12	2.3E-01	28.6739	0	28.9794	0	28.6603	0	28.5941	0	28.6924	0	28.5511	0	304
DNAJC2	DNAJC2	DnaJ homolog subfamily C member 2;DnaJ homolog subfamily C member 2, N-terminally processed	19	19	Q99543;Q99543-2	Q99543;Q99543-2	19;17	19;17	19;17	71.996	31.4	1.04	7.7E-01	29.699	0	29.7388	0	29.3081	0	29.4631	0	29.7081	0	29.4174	0	
CLUH	CLUH	Clustered mitochondria protein homolog	25	25	O75153;Q9Y5I4-2;Q9Y5I4	O75153	25;1;1	25;1;1	25;1;1	146.67	23	1.06	3.6E-01	29.9163	0	30.1718	0	30.0513	0	30.0062	0	29.9537	0	29.9445	0	
TSN	TSN	Translin	11	11	Q15631;Q15631-2	Q15631;Q15631-2	11;6	11;6	11;6	26.183	46.5	0.99	8.7E-01	29.2024	0	29.2638	0	28.9028	0	29.1293	0	29.2159	0	29.0856	0	56;187
LTN1	LTN1	E3 ubiquitin-protein ligase listerin	26	26	O94822;O94822-3;O94822-2	O94822;O94822-3	26;26;4	26;26;4	26;26;4	200.55	16.4	0.91	2.6E-01	29.9728	0	29.8853	0	29.8639	0	30.1309	0	30.125	0	29.8533	0	
VAMP7	VAMP7	Vesicle-associated membrane protein 7	9	9	P51809-3;P51809;P51809-2	P51809-3;P51809;P51809-2	9;9;6	9;9;6	9;9;6	20.12	49.2	1.05	6.9E-01	29.1353	0	29.4158	0	29.0816	0	28.9174	0	29.3757	0	29.1233	0	84;131
HPRT1	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	7	7	P00492	P00492	7	7	7	24.579	38.1	0.94	5.6E-01	29.2001	0	28.9809	0	28.7925	0	28.9866	0	29.216	0	29.0301	0	
ANAPC5	ANAPC5	Anaphase-promoting complex subunit 5	20	20	Q9UJX4;Q9UJX4-3;Q9UJX4-2	Q9UJX4;Q9UJX4-3	20;17;4	20;17;4	20;17;4	85.076	34.4	1.03	7.1E-01	29.554	0	29.8326	0	29.6019	0	29.6998	0	29.6974	0	29.4449	0	
CA2	CA2	Carbonic anhydrase 2	10	10	P00918	P00918	10	10	10	29.246	45.8	0.89	2.4E-01	29.1942	0	29	0	28.8747	0	29.3021	0	29.1977	0	29.056	0	
EIF5	EIF5	Eukaryotic translation initiation factor 5	7	7	P55010	P55010	7	7	7	49.222	18.8	1.17	1.2E-01	29.4015	0	29.2651	0	29.3715	0	29.2554	0	28.8937	0	29.1954	0	
