Leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/Control	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	PSMA5	Proteasome subunit alpha type-5	5	5	P28066	P28066	5	5	5	26.411	28.2	0.372659514708627	0.163916246256296	8.24422	1	6.6024	1	7.90965	1	8.19504	1	10.3383	0	8.49514	1	
	GCN1L1	Translational activator GCN1	13	13	Q92616	Q92616	13	13	13	292.75	5.8	0.259534817635764	0.287102517045669	11.1865	0	6.78825	1	7.73324	1	11.4481	0	8.81084	1	11.2871	0	
	UTP6	U3 small nucleolar RNA-associated protein 6 homolog	10	10	Q9NYH9	Q9NYH9	10	10	10	70.193	17.4	0.24254090730579	0.054789835939175	7.60474	1	6.61484	1	8.06587	1	10.4664	0	8.30905	1	9.64113	0	
	ATP6V1E1	V-type proton ATPase subunit E 1	4	4	P36543	P36543	4	4	4	26.145	20.4	0.465463517327434	0.136591916943738	7.50265	1	7.50831	1	8.03174	1	9.8631	0	7.9423	1	8.54707	1	
	MAT2A	S-adenosylmethionine synthase isoform type-2	3	3	P31153;Q00266	P31153	3;1	3;1	3;1	43.66	8.4	0.459465995966977	0.385069392672716	7.53723	1	8.56461	1	6.59268	1	7.38811	1	8.01688	1	10.6554	0	
	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	5	3	P04899;P63096;P09471;P11488;P19087;A8MTJ3;P38405	P04899	5;2;2;1;1;1;1	3;0;0;0;0;0;0	3;0;0;0;0;0;0	40.45	19.2	0.44425810438742	0.294039719648041	7.65034	1	7.53347	1	8.69519	1	8.02826	1	8.45515	1	10.9072	0	
	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	8	5	O43390	O43390	8	5	5	70.942	13.3	0.4477173090545	0.335005548453209	8.12545	1	7.04721	1	7.96956	1	10.5735	0	8.94828	1	7.09852	1	
	RPS4X;RPS4Y2;RPS4Y1	40S ribosomal protein S4, X isoform;40S ribosomal protein S4, Y isoform 2;40S ribosomal protein S4, Y isoform 1	5	5	P62701;Q8TD47;P22090	P62701;Q8TD47;P22090	5;3;3	5;3;3	5;3;3	29.597	19	0.429642912134552	0.16855863280083	7.5475	1	8.03159	1	7.3786	1	8.04389	1	10.2615	0	8.30865	1	
	NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	2	2	Q13765;E9PAV3	Q13765;E9PAV3	2;2	2;2	2;2	23.384	13.5	0.372762852190353	0.299068725535123	7.81404	1	6.33711	1	8.04757	1	10.9574	0	7.71555	1	7.79677	1	
	RAD21	Double-strand-break repair protein rad21 homolog	4	4	O60216;Q9H4I0	O60216	4;1	4;1	4;1	71.689	8.6	0.474713834600344	0.363521414848517	7.37836	1	8.44634	0	7.70686	1	10.8336	0	8.46434	1	7.45821	1	
	EIF3F	Eukaryotic translation initiation factor 3 subunit F	7	7	O00303	O00303	7	7	7	37.563	24.4	0.463820985159204	0.362884150363525	6.82929	1	6.97947	1	8.43528	1	9.92883	0	8.93009	1	6.71021	1	
	DBN1	Drebrin	5	5	Q16643	Q16643	5	5	5	71.428	8.9	0.330974047209535	0.057700556263293	7.31585	1	7.18231	1	7.40711	1	8.46261	1	8.1432	1	10.0851	0	
	HMGB1;HMGB1P1	High mobility group protein B1;Putative high mobility group protein B1-like 1	4	4	P09429;B2RPK0	P09429;B2RPK0	4;2	4;2	4;2	24.893	13.5	0.450322354016705	0.1326428974397	7.42679	1	7.32299	1	6.42673	1	8.60453	1	8.84925	0	7.17563	1	
	SYNGR2	Synaptogyrin-2	1	1	O43760	O43760	1	1	1	24.81	4.5	0.447670761375802	0.238495945331308	7.45172	1	7.47917	1	8.25415	1	9.34928	1	9.97528	0	7.33894	1	
	DNASE2B	Deoxyribonuclease-2-beta	1	1	Q8WZ79	Q8WZ79	1	1	1	41.712	3.3	0.335343141220829	0.229588959592186	8.26266	1	6.55548	1	8.20594	1	8.74126	1	7.89959	1	11.1121	0	
	MFN1	Mitofusin-1	5	5	Q8IWA4	Q8IWA4	5	5	5	84.099	7	0.337306026569331	0.246572137487124	8.23662	1	8.93277	1	5.42213	1	9.08942	0	9.84787	0	8.35783	1	
	EIF5	Eukaryotic translation initiation factor 5	2	2	P55010	P55010	2	2	2	49.222	4.6	0.325570073986276	0.114865603845889	8.23344	1	7.88298	1	7.63452	1	8.23341	1	9.42284	1	10.9516	0	
	AP3B1	AP-3 complex subunit beta-1	2	2	O00203	O00203	2	2	2	121.32	2	0.484725538434409	0.323944790309702	7.03589	1	8.44015	1	7.19017	1	8.38185	1	10.1106	0	7.30802	1	
	SLC39A14	Zinc transporter ZIP14	1	1	Q15043	Q15043	1	1	1	54.212	2.6	0.448040172762471	0.261254030948379	8.11395	1	8.53652	1	6.98983	1	7.97734	1	10.5029	0	8.63491	1	
	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	3	3	Q16630	Q16630	3	3	3	59.209	6.5	0.374601868287077	0.287916132551032	7.32962	1	6.77026	1	7.4757	1	10.5453	0	8.67069	1	6.60935	1	
	NPEPPS	Puromycin-sensitive aminopeptidase	7	7	P55786;A6NEC2	P55786	7;2	7;2	7;2	103.28	8.9	0.496143720792666	0.368116259137799	10.0066	0	7.21401	1	7.35719	1	10.0136	0	8.94337	1	8.65434	1	
	UFL1	E3 UFM1-protein ligase 1	6	6	O94874	O94874	6	6	6	89.594	7.7	0.487752103572022	0.44208827829362	7.40739	1	8.15792	1	6.10838	1	6.7915	1	10.313	0	7.67655	1	
	MORF4L2;MORF4L1	Mortality factor 4-like protein 2;Mortality factor 4-like protein 1	4	4	Q15014;Q9UBU8	Q15014;Q9UBU8	4;2	4;2	4;2	32.307	16.7	0.464689837695231	0.158665315631847	6.50917	1	7.64659	1	7.97523	1	7.96442	1	8.08452	1	9.39904	0	
	HK1	Hexokinase-1	6	4	P19367;Q2TB90	P19367	6;1	6;1	4;1	102.48	6.4	0.387822927228738	0.081816331010126	7.37257	1	7.74434	1	7.48554	1	7.97761	1	9.97241	0	8.75203	1	
	sep-02	Septin-2	4	4	Q15019	Q15019	4	4	4	41.487	15	0.440672874574314	0.345749849707653	7.07543	1	8.42199	1	6.63795	1	7.07965	1	10.3817	0	8.22074	1	
	RPA2	Replication protein A 32 kDa subunit	3	3	P15927	P15927	3	3	3	29.247	13.3	0.376421255342478	0.091877675703915	7.01537	1	6.97955	1	8.88878	1	9.045	0	8.85927	1	9.20817	1	
	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	3	3	P15170;Q8IYD1	P15170	3;1	3;1	3;1	55.755	9	0.436471693834158	0.139843086248264	7.81113	1	7.51607	1	8.8424	1	10.1381	0	8.36648	1	9.25308	1	
	PICALM	Phosphatidylinositol-binding clathrin assembly protein	3	3	Q13492;O60641	Q13492	3;1	3;1	3;1	70.754	7.2	0.241963275321436	0.075255804013869	7.87328	1	6.79505	1	5.83127	1	10.1192	0	8.16947	1	8.35234	1	
	NEDD4L;NEDD4	E3 ubiquitin-protein ligase NEDD4-like;E3 ubiquitin-protein ligase NEDD4	1	1	Q96PU5;P46934	Q96PU5;P46934	1;1	1;1	1;1	111.93	1	0.330098845969849	0.148737678935179	6.452	1	7.29463	1	7.25504	1	7.66701	1	10.302	0	7.82978	1	
	BICD2;BICD1	Protein bicaudal D homolog 2;Protein bicaudal D homolog 1	2	2	Q8TD16;Q96G01	Q8TD16;Q96G01	2;1	2;1	2;1	93.532	2.7	0.391211314171052	0.060322592770638	7.49007	1	8.42178	1	7.12261	1	8.47738	1	9.67964	0	8.93937	1	
	GOLGA4	Golgin subfamily A member 4	5	5	Q13439	Q13439	5	5	5	261.14	2.4	0.313572294129456	0.094636789789148	8.37141	1	8.075	1	7.80719	1	10.6093	0	10.4005	0	8.26327	1	
	MAD2L1	Mitotic spindle assembly checkpoint protein MAD2A	3	3	Q13257	Q13257	3	3	3	23.51	16.6	0.368702729032159	0.140824105071008	7.10247	1	7.9591	1	7.24098	1	8.06693	1	8.20386	1	10.3502	0	
	RPS3A	40S ribosomal protein S3a	4	4	P61247	P61247	4	4	4	29.945	15.2	0.483453822111078	0.1085762905155	7.97723	1	7.77087	1	7.19574	1	9.52752	0	8.59092	1	7.97105	1	
	PITPNB	Phosphatidylinositol transfer protein beta isoform	3	3	P48739	P48739	3	3	3	31.54	11.8	0.418088422893328	0.159341903152608	7.02704	1	7.73937	1	7.17611	1	9.83727	0	7.43795	1	8.44166	1	
	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A	1	1	P62942	P62942	1	1	1	11.951	12	0.425508542255775	0.104516534210298	8.18978	1	7.27976	1	6.35737	1	7.99202	1	8.80697	0	8.72612	1	
	TUBB4B;TUBB4A	Tubulin beta-4B chain;Tubulin beta-4A chain	14	1	P68371;P04350;Q3ZCM7;Q9BUF5;A6NNZ2;CON__tr|E1BJK2_CONT|CONT_E1BJK2_BOVIN;CON__sw|ENSBTAP025008_CONT|CONT_(Bos;Q9H4B7	P68371;P04350	14;10;5;5;4;3;3;3	1;1;1;0;0;0;0;0	1;1;1;0;0;0;0;0	49.83	35.1	0.48867933394947	0.363156648978329	6.96311	1	6.99396	1	7.56589	1	7.67683	1	6.82373	1	10.1215	0	
	MED15	Mediator of RNA polymerase II transcription subunit 15	2	2	Q96RN5	Q96RN5	2	2	2	86.753	2.9	0.444886738688585	0.321868147164655	7.23067	1	7.019	1	7.14358	1	6.95914	1	10.3308	0	7.60878	1	
	WARS	Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS	1	1	P23381	P23381	1	1	1	53.165	3.4	0.481467392631459	0.124076347373984	7.21071	1	6.98128	1	6.62485	1	9.0242	0	7.45761	1	7.4985	1	
	IDE	Insulin-degrading enzyme	5	5	P14735	P14735	5	5	5	117.97	5	0.451845042778321	0.266793964128736	7.31825	1	7.37056	1	7.92231	1	7.93987	1	7.69675	1	10.4128	0	
	VPS4A;VPS4B;FIGNL1	Vacuolar protein sorting-associated protein 4A;Vacuolar protein sorting-associated protein 4B;Fidgetin-like protein 1	1	1	Q9UN37;O75351;Q6PIW4	Q9UN37;O75351;Q6PIW4	1;1;1	1;1;1	1;1;1	48.897	2.7	0.429741199280308	0.059440164136022	7.10167	1	8.14486	1	6.88647	1	8.98349	1	8.10507	1	8.69982	0	
	VPS26A	Vacuolar protein sorting-associated protein 26A	1	1	O75436	O75436	1	1	1	38.169	3.7	0.415802402729661	0.188562791978807	7.75116	1	6.96156	1	6.722	1	7.5473	1	7.80874	1	9.87676	0	
	TOM1L1	TOM1-like protein 1	4	4	O75674	O75674	4	4	4	52.988	12.2	0.345031503510803	0.092744892037242	6.84679	1	7.60414	1	7.71351	1	10.0193	0	7.79365	1	8.95708	1	
	LAS1L	Ribosomal biogenesis protein LAS1L	3	3	Q9Y4W2	Q9Y4W2	3	3	3	83.064	5.2	0.403052590582238	0.203804139130245	8.48473	1	7.50745	1	6.6586	1	9.57879	0	9.51161	1	7.49326	1	
	STX6	Syntaxin-6	1	1	O43752	O43752	1	1	1	29.176	4.3	0.49868129666318	0.072341914831739	7.62295	1	7.75427	1	7.5595	1	7.83942	1	8.94487	1	9.16388	0	
	VAMP7	Vesicle-associated membrane protein 7	2	2	P51809	P51809	2	2	2	24.935	8.2	0.472249115621108	0.193906335941878	7.20273	1	7.38165	1	8.15658	1	8.66333	1	7.57233	1	9.75243	0	
	DNAJB6;DNAJB3;DNAJB8;DNAJB2	DnaJ homolog subfamily B member 6;DnaJ homolog subfamily B member 3;DnaJ homolog subfamily B member 8;DnaJ homolog subfamily B member 2	2	2	O75190;Q8WWF6;Q8NHS0;P25686	O75190;Q8WWF6;Q8NHS0;P25686	2;1;1;1	2;1;1;1	2;1;1;1	36.087	7.1	0.464129724228409	0.203154291058916	8.20681	1	7.99337	1	6.36261	1	8.28567	1	9.49731	0	8.102	1	
	CPNE3	Copine-3	3	3	O75131;Q96FN4;Q8IYJ1;Q96A23;O95741;Q86YQ8;Q9HCH3;Q9UBL6	O75131	3;1;1;1;1;1;1;1	3;1;1;1;1;1;1;1	3;1;1;1;1;1;1;1	60.13	4.8	0.468870039560838	0.153113329333713	7.20208	1	7.26677	1	8.35296	1	8.68816	1	7.84716	1	9.56472	0	
	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1	1	P39687	P39687	1	1	1	28.585	3.2	0.476276080263425	0.154809996207293	7.21847	1	6.94403	1	7.34672	1	9.11837	0	7.09407	1	8.50717	1	
	SRP54	Signal recognition particle 54 kDa protein	3	3	P61011	P61011	3	3	3	55.704	7.5	0.404090404804161	0.098530344215724	6.90936	1	7.19105	1	8.36546	1	8.89483	1	8.03196	1	9.46082	0	
	RRBP1	Ribosome-binding protein 1	3	3	Q9P2E9	Q9P2E9	3	3	3	152.47	2.3	0.480530530289732	0.379213683519613	7.18697	1	8.43824	1	7.23632	1	8.4116	1	7.11315	1	10.5087	0	
	UBE4B	Ubiquitin conjugation factor E4 B	3	3	O95155	O95155	3	3	3	146.18	2.2	0.481273869430557	0.316460128431818	7.05714	1	6.77013	1	8.06244	1	10.0004	0	7.75683	1	7.29768	1	
	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	2	1	P50148	P50148	2	1	1	42.142	7.2	0.43891089880476	0.087863803635313	6.82792	1	7.61311	1	7.14747	1	8.20703	1	7.66121	1	9.28427	0	
	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	2	2	Q14738	Q14738	2	2	2	69.991	4.2	0.454984719866558	0.129808161811198	6.94185	1	6.15284	1	8.14399	1	8.30684	0	7.9297	1	8.41048	1	
	SNX27	Sorting nexin-27	3	3	Q96L92	Q96L92	3	3	3	61.264	6.7	0.461022797960491	0.152813949402868	7.81986	1	6.66431	1	7.01954	1	9.28367	0	7.45833	1	8.113	1	
	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	1	1	O75643	O75643	1	1	1	244.5	0.6	0.4745197368238	0.273494753752726	7.66327	1	7.73815	1	7.84527	1	10.339	0	8.72155	1	7.41258	1	
	ARF5;ARF4;ARF1;ARF3	ADP-ribosylation factor 5;ADP-ribosylation factor 4;ADP-ribosylation factor 1;ADP-ribosylation factor 3	1	1	P84085;P18085;P84077;P61204	P84085;P18085;P84077;P61204	1;1;1;1	1;1;1;1	1;1;1;1	20.529	11.7	0.117402090264918	0.295358177805216	8.18062	1	7.64822	1	8.40086	1	8.9806	1	8.25173	1	16.2688	0	
	NT5DC1	5-nucleotidase domain-containing protein 1	2	2	Q5TFE4	Q5TFE4	2	2	2	51.844	4.8	0.444572310425303	0.054459042337411	7.95036	1	7.02628	1	7.32132	1	7.96498	1	9.11644	1	8.72506	0	
	ARIH2	E3 ubiquitin-protein ligase ARIH2	2	2	O95376	O95376	2	2	2	57.818	5.5	0.428307842812493	0.223060668796885	7.09401	1	7.65453	1	7.44345	1	7.48231	1	8.13599	1	10.2435	0	
	TRIP13	Pachytene checkpoint protein 2 homolog	3	3	Q15645	Q15645	3	3	3	48.55	6.7	0.451873231218126	0.108978292755092	6.90885	1	8.33003	1	7.1439	1	9.28663	1	8.34132	0	8.19286	1	
	PDE12	2,5-phosphodiesterase 12	3	3	Q6L8Q7	Q6L8Q7	3	3	3	67.351	4.9	0.489907064274498	0.167055200516165	7.06754	1	6.353	1	7.47422	1	7.77101	1	8.97702	0	7.235	1	
	ELP2	Elongator complex protein 2	1	1	Q6IA86	Q6IA86	1	1	1	92.499	1.5	0.086782622854606	0.269957874446141	6.91386	1	6.623	1	9.06976	1	8.69778	1	8.14328	1	16.3449	0	
	DDX6	Probable ATP-dependent RNA helicase DDX6	2	2	P26196	P26196	2	2	2	54.416	5.4	0.441746313428094	0.085262880371215	6.5495	1	7.99311	1	7.15545	1	8.86934	1	8.53259	1	7.83226	0	
	SLC38A2	Sodium-coupled neutral amino acid transporter 2	1	1	Q96QD8	Q96QD8	1	1	1	56.025	3.2	0.165793574511035	0.405610323473379	7.63235	1	8.12448	1	8.19043	1	7.81721	1	16.1469	0	7.76079	1	
	SFT2D2	Vesicle transport protein SFT2B	1	1	O95562	O95562	1	1	1	17.779	6.2	0.105503297784677	0.306014496260066	6.83333	1	7.06788	1	7.48688	1	8.23802	1	15.8508	0	7.03323	1	
	DUT	Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial	1	1	P33316	P33316	1	1	1	26.563	4	0.130155663985759	0.328213167185865	7.21259	1	7.43656	1	7.20415	1	7.54546	1	7.62148	1	15.5114	0	
	RAB21	Ras-related protein Rab-21	1	1	Q9UL25	Q9UL25	1	1	1	24.347	6.7	0.197462417473222	0.449497209544639	8.21105	1	8.16975	1	8.54826	1	7.69968	1	16.2316	0	8.01884	1	
	DHX9	ATP-dependent RNA helicase A	2	2	Q08211	Q08211	2	2	2	140.96	2	0.485990493990676	0.163553559372934	6.15684	1	6.57141	1	8.15538	1	8.09798	0	7.94685	1	7.9618	1	
	FBXO30	F-box only protein 30	1	1	Q8TB52	Q8TB52	1	1	1	82.303	1.9	0.205465774238626	0.51041802177677	8.76634	1	7.67513	1	7.62169	1	16.5814	0	7.3925	1	6.93835	1	
	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	4	1	O60331	O60331	4	1	1	73.259	6.1	0.202010193669846	0.372364268430497	7.11358	1	7.47544	1	8.08674	1	7.75935	1	7.41388	1	14.425	0	
	PES1	Pescadillo homolog	2	2	O00541	O00541	2	2	2	68.002	3.6	0.08209225912676	0.240413028875249	7.0058	1	7.09071	1	7.8734	1	16.1271	0	8.05031	1	8.61234	1	
	SPECC1	Cytospin-B	1	1	Q5M775	Q5M775	1	1	1	118.58	1.2	0.433925718074589	0.062268728828342	6.78188	0	6.84843	1	7.34751	1	8.64001	1	7.3287	1	8.62254	1	
	LRRC59	Leucine-rich repeat-containing protein 59	4	4	Q96AG4	Q96AG4	4	4	4	34.93	16.6	9.40638250674613	0.379415439851629	16.9565	0	17.3407	0	16.6865	0	16.7667	0	17.2881	0	7.22795	1	
	HSPA6	Heat shock 70 kDa protein 6	11	1	P17066;P48741	P17066	11;4	1;1	1;1	71.027	16.2	4.52999670219411	0.45504568447867	13.7676	0	15.6744	0	17.1554	0	15.7455	0	15.8569	0	8.45647	1	509
	RAD18	E3 ubiquitin-protein ligase RAD18	13	13	Q9NS91	Q9NS91	13	13	13	56.222	26.9	2.41116436437246	0.492351199142894	13.5619	0	13.4172	0	14.3156	0	14.0675	0	14.2392	0	9.17886	1	
	TELO2	Telomere length regulation protein TEL2 homolog	2	2	Q9Y4R8	Q9Y4R8	2	2	2	91.746	3.2	2.99565192108737	0.535590666315744	7.0062	1	14.1891	0	7.51357	1	8.47486	1	8.13807	1	7.34736	1	
	TXLNG	Gamma-taxilin	12	12	Q9NUQ3;Q9BZA5	Q9NUQ3	12;1	12;1	12;1	60.585	22.7	4.32200277949527	0.345878048539301	12.7871	0	12.6815	0	13.2065	0	13.0203	0	12.4701	0	6.84957	1	
	EGFLAM	Pikachurin	1	1	Q63HQ2	Q63HQ2	1	1	1	111.27	0.9	2.07384777350501	0.606343882134294	7.42753	1	7.87293	1	13.2327	0	8.69148	1	7.92362	1	8.76117	1	
	COPE	Coatomer subunit epsilon	8	8	O14579	O14579	8	8	8	34.482	33.4	2.73024420901232	0.377349692131948	12.2261	0	11.7919	0	11.651	0	12.0112	0	7.54318	1	11.7675	0	
	STIP1	Stress-induced-phosphoprotein 1	14	14	P31948	P31948	14	14	14	62.639	25.6	3.17058707796124	0.308005165473585	12.5824	0	13.194	0	12.467	0	12.8779	0	8.30543	1	12.0659	0	
	DNAJA1	DnaJ homolog subfamily A member 1	5	5	P31689	P31689	5	5	5	44.868	17.9	2.61527018538208	0.422545032068738	11.8994	0	12.0217	0	12.1063	0	7.56166	1	12.6088	0	11.6961	0	
	DNAJC7	DnaJ homolog subfamily C member 7	11	11	Q99615	Q99615	11	11	11	56.44	24.5	4.32341102737099	0.160028008275687	13.1168	0	12.8656	0	11.6748	0	11.6668	0	11.4966	0	8.15731	1	
	HIST1H4A	Histone H4	5	5	P62805	P62805	5	5	5	11.367	50.5	6.99076335985794	0.181705887824196	6.98816	1	11.2966	0	12.4549	0	6.43502	1	7.95957	1	7.92872	1	
	ANXA2;ANXA2P2	Annexin A2;Putative annexin A2-like protein	11	11	P07355;A6NMY6	P07355;A6NMY6	11;9	11;9	11;9	38.604	37.5	2.62285853986239	0.451052402082038	11.8166	0	11.2878	0	11.6763	0	11.8197	0	6.88285	1	11.9047	0	
	NBAS	Neuroblastoma-amplified sequence	1	1	A2RRP1	A2RRP1	1	1	1	268.57	0.4	7.75286745258154	0.230462888075281	8.05899	1	9.06001	1	14.0032	0	5.89862	1	9.29808	1	7.06126	1	
	GLRX3	Glutaredoxin-3	7	7	O76003	O76003	7	7	7	37.432	19.7	2.20390188755005	0.554882464020709	7.64612	1	12.2708	0	6.86227	1	7.73659	1	6.87872	1	8.74365	1	
	TCP1	T-complex protein 1 subunit alpha	12	12	P17987	P17987	12	12	12	60.343	27.7	2.9515238507503	0.251093228045305	12.1552	0	12.3025	0	11.5264	0	8.16604	1	11.3566	0	11.7771	0	
	YWHAQ	14-3-3 protein theta	9	6	P27348	P27348	9	6	6	27.764	40.4	6.26163754297944	0.119276805713739	11.4223	0	7.65004	1	11.8508	0	7.47928	1	7.85515	1	7.64908	1	
	FKRP	Fukutin-related protein	1	1	Q9H9S5	Q9H9S5	1	1	1	54.567	2.2	4.08841033435155	0.225911323557046	8.75533	1	12.2172	0	8.5024	1	8.69456	1	6.27675	1	8.40903	1	
	TP53	Cellular tumor antigen p53	6	6	P04637	P04637	6	6	6	43.653	17.6	2.94892677666309	0.520356519298344	12.2842	0	12.2944	0	7.37757	1	11.9878	0	8.28443	1	7.00335	1	
	RARS	Arginine--tRNA ligase, cytoplasmic	16	16	P54136	P54136	16	16	16	75.378	25.6	2.71864918926862	0.40514081741784	11.7697	0	11.9681	0	11.8806	0	11.5016	0	7.37326	1	12.4148	0	
	UCK2	Uridine-cytidine kinase 2	4	4	Q9BZX2	Q9BZX2	4	4	4	29.299	20.7	4.49063666761857	0.196795425926516	11.3952	0	7.0265	1	10.8187	0	7.95753	1	7.00779	1	7.77429	1	
	PLK2	Serine/threonine-protein kinase PLK2	1	1	Q9NYY3	Q9NYY3	1	1	1	78.236	2.3	4.31577603845854	0.422653042865233	7.56762	1	6.78732	1	14.0909	0	7.70677	1	6.43038	1	7.97987	1	
	UBE3A	Ubiquitin-protein ligase E3A	11	11	Q05086	Q05086	11	11	11	100.69	13.5	2.92796843355088	0.084350954237794	12.6428	0	11.2793	0	12.0547	0	9.5419	1	10.3405	0	11.4447	0	
	KIAA1524	Protein CIP2A	13	13	Q8TCG1	Q8TCG1	13	13	13	102.18	13.8	6.13528345886101	0.08874011761721	11.5361	0	11.5656	0	11.9345	0	7.71321	1	11.3749	0	8.09663	1	
	KHSRP	Far upstream element-binding protein 2	7	7	Q92945	Q92945	7	7	7	73.114	11.4	2.30087084037795	0.298277160432459	11.5652	0	10.8432	0	11.0354	0	11.3293	0	8.04432	1	10.4636	0	
	ACTN4	Alpha-actinin-4	10	4	O43707;Q08043;P35609	O43707	10;2;1	10;2;1	4;0;0	104.85	12.7	3.19359197383988	0.208922397036833	11.38	0	11.5064	0	11.6725	0	11.1856	0	7.62799	1	10.7198	0	
	GTF2I	General transcription factor II-I	15	15	P78347;Q86UP8;Q6EKJ0	P78347	15;1;1	15;1;1	15;1;1	112.42	16	4.44169398384683	0.291126674820872	12.2923	0	8.14652	1	11.5172	0	10.9617	0	7.23656	1	7.30432	1	
	COPS7A	COP9 signalosome complex subunit 7a	5	5	Q9UBW8	Q9UBW8	5	5	5	30.276	20	4.95700941855353	0.056026049417065	11.0058	0	10.6121	0	8.24415	1	7.50601	1	7.78473	1	7.64291	1	
	RBBP4;RBBP7	Histone-binding protein RBBP4;Histone-binding protein RBBP7	4	4	Q09028;Q16576	Q09028;Q16576	4;3	4;3	4;3	47.655	9.9	2.78255460621611	0.419322339341219	6.36119	1	11.0747	0	11.2257	0	7.5423	1	8.81401	1	7.87609	1	
	RPL7A	60S ribosomal protein L7a	4	4	P62424	P62424	4	4	4	29.995	14.3	2.49119853305971	0.476092127296367	12.1405	0	6.48394	1	8.72882	1	7.36479	1	7.59884	1	8.43915	1	
	ILF3	Interleukin enhancer-binding factor 3	6	6	Q12906	Q12906	6	6	6	95.337	8.3	7.34142437339837	0.052363660687181	11.738	0	8.81973	1	11.7769	0	7.29378	1	7.79252	1	8.6202	1	
	CCT5	T-complex protein 1 subunit epsilon	9	9	P48643	P48643	9	9	9	59.67	19.2	4.22438112215751	0.310436658428697	11.7192	0	11.8768	0	6.51368	1	8.07125	1	7.34966	1	8.45254	1	
	NAP1L1	Nucleosome assembly protein 1-like 1	6	5	P55209	P55209	6	6	5	45.374	17.4	2.12199315132307	0.461347317762346	10.7731	0	11.171	0	7.89385	1	7.21216	1	9.37034	0	9.99915	0	
	OLA1	Obg-like ATPase 1	4	4	Q9NTK5	Q9NTK5	4	4	4	44.743	12.1	4.95584133758493	0.091310348429438	10.643	0	7.62129	1	10.667	0	7.15798	1	7.84091	1	7.00497	1	
	RABGEF1	Rab5 GDP/GTP exchange factor	8	8	Q9UJ41	Q9UJ41	8	8	8	79.37	10.3	2.33667971542096	0.440695889767263	10.9255	0	9.10118	1	7.45624	1	9.89077	0	7.48444	1	6.43432	1	
	KIF5B	Kinesin-1 heavy chain	13	13	P33176;O60282;Q12840	P33176	13;3;3	13;3;3	13;3;3	109.68	16.8	2.35190534743779	0.346574814931272	11.2546	0	8.7883	1	7.33141	1	7.8143	1	8.21816	1	7.64032	1	
	LMNA	Prelamin-A/C;Lamin-A/C	12	11	P02545	P02545	12	11	11	74.139	19	2.58336232439778	0.261890653887369	10.9546	0	10.7881	0	12.2364	0	11.2227	0	10.5381	0	8.11055	1	
	UBE2N;UBE2NL	Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like	2	2	P61088;Q5JXB2	P61088;Q5JXB2	2;2	2;2	2;2	17.138	13.8	2.35626205589751	0.323273421659943	8.73052	1	7.10406	1	10.7837	0	7.76504	1	8.02708	1	7.11668	1	
	ARIH1	E3 ubiquitin-protein ligase ARIH1	3	3	Q9Y4X5	Q9Y4X5	3	3	3	64.117	6.1	3.15922349016592	0.254944707087449	7.78188	1	10.8239	0	11.6619	0	8.03243	1	7.99612	1	9.26042	1	
	PCM1	Pericentriolar material 1 protein	7	7	Q15154	Q15154	7	7	7	228.53	3.4	4.61630965177203	0.26333585782995	11.7304	0	11.3114	0	11.83	0	8.70963	1	6.90947	1	12.6325	0	
	MCM3	DNA replication licensing factor MCM3	11	11	P25205	P25205	11	11	11	90.98	13.6	6.83077844776878	0.133740517703054	11.3622	0	6.95803	1	10.937	0	6.47438	1	7.90377	1	6.56295	1	
	SLC7A1	High affinity cationic amino acid transporter 1	3	3	P30825;P52569	P30825	3;1	3;1	3;1	67.638	5.1	2.62571439590347	0.35291896751277	11.0616	0	7.42615	1	7.7907	1	7.92837	1	6.07009	1	8.10191	1	
