Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
	S100P	Protein S100-P	1	1	P25815	P25815	1	1	1	10.4	13.7	2.82701590519471	0.048590346942162	22.3307	0	22.0026	1	21.8093	1	21.1863	1	19.5345	1	20.9239	1	
	SAMD4B	Protein Smaug homolog 2	2	2	Q5PRF9	Q5PRF9	2	2	2	75.483	6.2	2.56056112657793	0.02773192391482	23.1719	1	22.1344	1	22.2946	0	20.9528	1	21.6539	1	20.9249	1	
	RPL9	60S ribosomal protein L9	1	1	P32969	P32969	1	1	1	21.863	5.2	3.18055823048953	0.020210171552196	21.8802	1	21.9085	1	21.3105	1	19.4515	1	19.8361	0	20.8037	1	
	MFAP1	Microfibrillar-associated protein 1	2	2	P55081	P55081	2	2	2	51.958	6.4	2.12533461704237	0.009692816702	22.3901	1	22.1809	1	22.8181	0	21.4931	1	21.0961	1	21.5369	1	
	C5orf51	UPF0600 protein C5orf51	2	2	A6NDU8	A6NDU8	2	2	2	33.62	3.4	2.43668540507456	0.009670969196541	22.0269	0	22.1242	1	22.4463	1	20.5576	1	20.7999	1	21.3851	1	
	AFTPH	Aftiphilin	1	1	Q6ULP2	Q6ULP2	1	1	1	102.11	1.3	2.61166526556072	0.005375142719208	21.9394	1	22.27	1	21.949	1	21.0419	0	20.2554	1	20.7061	1	
	TUBGCP3	Gamma-tubulin complex component 3	1	1	Q96CW5	Q96CW5	1	1	1	103.57	1.5	2.02428160160168	0.007430362467416	22.28	1	21.8288	1	21.7161	1	21.0996	1	20.7291	1	20.944	0	
	UBA1	Ubiquitin-like modifier-activating enzyme 1	40	40	P22314	P22314	40	40	40	117.85	43.2	0.546470680902067	0.018084229089365	33.6117	0	33.9417	0	33.5391	0	34.3823	0	34.3792	0	34.9464	0	
	HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG	Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1	7	1	Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8	Q99878;Q96KK5;Q9BTM1;Q16777;Q6FI13;P20671;P0C0S8	7;7;7;7;7;7;7	7;7;7;7;7;7;7	1;1;1;1;1;1;1	13.936	36.7	0.519992240448142	0.008166575848381	32.491	0	32.4209	0	32.3107	0	33.4163	0	33.6357	0	33.001	0	120
	HSPA1B;HSPA1A	Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	34	17	P0DMV9;P0DMV8	P0DMV9;P0DMV8	34;34	29;29	17;17	70.051	56.8	0.548063134464527	0.030230825052399	31.9638	0	31.9104	0	32.5113	0	32.6347	0	33.1662	0	33.1873	0	451;507;524;526
	YARS	Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed	41	41	P54577	P54577	41	41	41	59.143	67.4	0.518480630975618	0.008645497708106	31.6659	0	31.2816	0	31.2096	0	32.5597	0	32.3553	0	32.0849	0	513
	YWHAE	14-3-3 protein epsilon	25	22	P62258	P62258	25	25	22	29.174	73.7	1.45683551688121	0.006576578373554	31.8566	0	31.6376	0	31.8415	0	31.0946	0	31.2517	0	31.3608	0	142;244
	VCP	Transitional endoplasmic reticulum ATPase	44	44	P55072	P55072	44	44	44	89.321	56.8	0.598470068476442	0.02980849160193	30.6395	0	30.941	0	30.224	0	31.1796	0	31.4591	0	31.3878	0	8;18
	YWHAZ	14-3-3 protein zeta/delta	15	11	P63104	P63104	15	11	11	27.745	64.9	1.84603000186638	0.009517875069451	31.3427	0	30.7764	0	31.048	0	29.9905	0	30.2079	0	30.3153	0	138;139
	PLS3	Plastin-3	31	28	P13797;P13796	P13797	31;5	31;5	28;4	70.81	51.7	0.609378709045883	0.024670616368486	30.0479	0	29.6398	0	29.8896	0	30.7031	0	30.7725	0	30.2455	0	
	PDCD6IP	Programmed cell death 6-interacting protein	39	39	Q8WUM4	Q8WUM4	39	39	39	96.022	46.7	0.648749308131475	0.044860075482445	29.5856	0	29.7277	0	30.2838	0	30.4219	0	30.5555	0	30.4926	0	501
	VCL	Vinculin	52	52	P18206	P18206	52	52	52	123.8	51.8	0.72113736459116	0.028930770488767	30.0006	0	29.7782	0	30.2056	0	30.4512	0	30.3554	0	30.5927	0	219
	CCT7	T-complex protein 1 subunit eta	22	22	Q99832	Q99832	22	22	22	59.366	47.5	0.5540703226581	0.0028496400112	29.5461	0	29.1577	0	29.3856	0	30.3464	0	30.1591	0	30.1394	0	
	YWHAB	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	17	11	P31946	P31946	17	14	11	28.082	61.8	1.46926639814022	0.004085545015308	30.2138	0	30.0553	0	30.304	0	29.7436	0	29.539	0	29.6252	0	
	EIF4A1	Eukaryotic initiation factor 4A-I	20	18	P60842;Q14240	P60842	20;8	20;8	18;6	46.153	53	1.66396489848963	0.029088411142069	30.3201	0	29.975	0	30.3315	0	29.1191	0	29.7533	0	29.5503	0	54
	LMNB1	Lamin-B1	41	38	P20700	P20700	41	41	38	66.408	57.3	1.27971717376772	0.044851812712212	30.5497	0	30.1954	0	30.2684	0	29.9563	0	30.0958	0	29.8939	0	182
	HNRNPC;HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2	Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 4;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2	15	15	P07910;P0DMR1;O60812;B7ZW38;B2RXH8;Q86SE5	P07910;P0DMR1;O60812;B7ZW38;B2RXH8	15;8;8;8;8;1	15;8;8;8;8;1	15;8;8;8;8;1	33.67	38.6	0.63822498812453	0.025170972779598	29.1325	0	28.9056	0	29.1241	0	29.9596	0	29.7658	0	29.3803	0	8;229
	DNAJC7	DnaJ homolog subfamily C member 7	29	29	Q99615	Q99615	29	29	29	56.44	61.1	1.68590237847461	0.001541168060424	29.9386	0	30.0859	0	30.2462	0	29.3013	0	29.4194	0	29.2893	0	
	BCAP31	B-cell receptor-associated protein 31	16	16	P51572	P51572	16	16	16	27.991	44.3	1.36273496199182	0.029956426144136	29.7863	0	29.3695	0	29.5056	0	28.9933	0	29.1575	0	29.1711	0	167;176
	PA2G4	Proliferation-associated protein 2G4	20	20	Q9UQ80	Q9UQ80	20	20	20	43.786	47.2	1.67421638286711	0.004081971799068	29.8876	0	29.6974	0	30.0826	0	29.036	0	29.1656	0	29.2354	0	373;376
	PABPC1;PABPC3	Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	28	22	P11940;Q9H361;Q4VXU2;Q96DU9	P11940;Q9H361	28;14;4;1	28;14;4;1	22;13;3;1	70.67	40.9	0.738557422838117	0.007609217534261	29.1809	0	29.3241	0	29.3239	0	29.5783	0	29.8322	0	29.7301	0	108;188
	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	19	19	P61978	P61978	19	19	19	50.976	47.1	1.31900954072475	0.033321918666027	29.3904	0	29.5342	0	29.8057	0	29.1192	0	29.2179	0	29.1948	0	52
	MSN	Moesin	32	23	P26038	P26038	32	32	23	67.819	49	1.27327231349047	0.022786100051935	29.7951	0	29.6492	0	29.4609	0	29.2897	0	29.2931	0	29.2767	0	352
	ADRM1	Proteasomal ubiquitin receptor ADRM1	8	8	Q16186	Q16186	8	8	8	42.153	22.4	1.57551118883052	0.003303315080272	29.9603	0	29.8252	0	29.6154	0	29.116	0	29.2036	0	29.1138	0	34;42
	BRAP	BRCA1-associated protein	21	21	Q7Z569	Q7Z569	21	21	21	67.304	40.2	0.795725644628144	0.04121164973264	29.2011	0	28.8668	0	29.1088	0	29.3873	0	29.3044	0	29.474	0	
	SLC1A5	Neutral amino acid transporter B(0)	15	15	Q15758	Q15758	15	15	15	56.598	31.1	1.66402487494457	0.001766525862392	29.7577	0	29.7093	0	29.8489	0	29.2175	0	28.9381	0	28.9562	0	502;537
	H2AFV;H2AFZ	Histone H2A.V;Histone H2A.Z	4	2	Q71UI9;P0C0S5	Q71UI9;P0C0S5	4;4	2;2	2;2	13.509	31.2	0.514812147184467	0.006280438974017	28.1171	0	28.701	0	28.3417	0	29.3331	0	29.4637	0	29.2367	0	
	PSMD4	26S proteasome non-ATPase regulatory subunit 4	15	12	P55036	P55036	15	15	12	40.736	48.5	0.675064379175764	0.02358956867106	28.4552	0	28.898	0	28.4576	0	29.0512	0	29.2508	0	29.2095	0	122
	PGAM1;PGAM2	Phosphoglycerate mutase 1;Phosphoglycerate mutase 2	10	10	P18669;P15259;Q8N0Y7	P18669;P15259	10;5;3	10;5;3	10;5;3	28.804	46.1	0.51700495049298	0.038189150693387	28.359	0	28.1236	0	27.6263	0	29.4206	0	28.8845	0	28.659	0	
	MARCKS	Myristoylated alanine-rich C-kinase substrate	9	9	P29966	P29966	9	9	9	31.554	40.7	1.58004867196724	0.007347337675562	29.6048	0	29.4367	0	29.8641	0	28.9953	0	29.0361	0	28.8942	0	
	ACLY	ATP-citrate synthase	26	26	P53396	P53396	26	26	26	120.84	25	0.666329189769809	0.001670667406792	29.0064	0	28.8339	0	28.7705	0	29.494	0	29.4838	0	29.3902	0	
	STIP1	Stress-induced-phosphoprotein 1	30	30	P31948	P31948	30	30	30	62.639	48.6	1.24426691530217	0.020828596177267	29.1769	0	29.2299	0	28.959	0	28.7712	0	28.809	0	28.8397	0	
	TRIM28	Transcription intermediary factor 1-beta	24	24	Q13263	Q13263	24	24	24	88.549	44.2	1.45176606625736	0.040470633257931	29.2523	0	29.3235	0	29.7745	0	28.8823	0	28.7992	0	29.0554	0	31;319
	SPTBN1	Spectrin beta chain, non-erythrocytic 1	60	58	Q01082	Q01082	60	60	58	274.61	29.7	0.515689651520339	0.030729111268705	29.3379	0	28.8253	0	28.7239	0	29.5484	0	30.3148	0	29.8903	0	
	XRCC5	X-ray repair cross-complementing protein 5	21	21	P13010	P13010	21	21	21	82.704	35.2	0.654048715015074	0.015033842634762	28.9517	0	28.6448	0	28.4434	0	29.2549	0	29.3409	0	29.2817	0	
	SFPQ	Splicing factor, proline- and glutamine-rich	18	17	P23246	P23246	18	18	17	76.149	27.7	1.33086386084194	0.024894877867565	29.0546	0	28.8842	0	29.27	0	28.6507	0	28.5955	0	28.7255	0	
	CKAP4	Cytoskeleton-associated protein 4	23	23	Q07065;Q96K21	Q07065	23;1	23;1	23;1	66.022	45	0.543486837233093	0.001245345913521	28.3653	0	28.083	0	28.0969	0	29.0201	0	29.1745	0	28.9897	0	
	FAF1	FAS-associated factor 1	19	19	Q9UNN5	Q9UNN5	19	19	19	73.953	30.5	1.20645323973102	0.000527363417414	29.0962	0	29.1397	0	29.1185	0	28.8517	0	28.8047	0	28.8857	0	
	CANX	Calnexin	22	22	P27824	P27824	22	22	22	67.567	31.6	1.68940239336739	0.034597124148765	29.5746	0	29.2928	0	29.0396	0	28.2003	0	28.6086	0	28.8287	0	
	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	17	12	O60506	O60506	17	17	12	69.602	32.3	0.746085564532225	0.023269657978637	28.4058	0	28.4487	0	28.3866	0	28.6814	0	29.0651	0	28.7623	0	
	LMNA	Prelamin-A/C;Lamin-A/C	35	33	P02545	P02545	35	33	33	74.139	51.5	1.46414354222007	0.026064536117872	29.0593	0	29.2714	0	28.8126	0	28.4413	0	28.6714	0	28.3804	0	
	ITCH	E3 ubiquitin-protein ligase Itchy homolog	24	20	Q96J02	Q96J02	24	24	20	102.8	32.6	0.712440284417526	0.030454396659906	28.3853	0	28.2433	0	28.2099	0	28.6157	0	29.0462	0	28.6441	0	
	TCAF1	TRPM8 channel-associated factor 1	21	21	Q9Y4C2	Q9Y4C2	21	21	21	102.12	23.2	0.623364542197049	0.008157742638129	28.2685	0	28.4792	0	28.0223	0	28.8709	0	29.0256	0	28.919	0	
	PSMC5	26S protease regulatory subunit 8	12	11	P62195	P62195	12	12	11	45.626	36.7	1.40583083115246	0.04773204045107	28.6019	0	28.6323	0	28.9796	0	28.482	0	28.0557	0	28.2017	0	
	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	18	16	Q9NZI8	Q9NZI8	18	18	16	63.48	36.9	1.37401809146128	0.000935621084063	28.9506	0	28.8626	0	28.9644	0	28.5235	0	28.4925	0	28.3865	0	450
	MAP4	Microtubule-associated protein 4	37	37	P27816	P27816	37	37	37	121	40.5	0.630617451345037	0.024487249146254	28.9235	0	28.4785	0	28.8655	0	29.2142	0	29.6534	0	29.3954	0	
	GPS1	COP9 signalosome complex subunit 1	11	11	Q13098	Q13098	11	11	11	55.536	26.3	1.57900528503299	0.037507662543033	29.1098	0	28.6521	0	29.1202	0	28.577	0	28.2663	0	28.0617	0	
	CCT5	T-complex protein 1 subunit epsilon	22	22	P48643	P48643	22	22	22	59.67	44.2	1.53168645548928	0.003729494748856	28.7591	0	28.753	0	28.6281	0	28.0935	0	28.26	0	27.9415	0	
	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed	11	9	P10644	P10644	11	11	9	42.981	29.9	0.753474190648537	0.021643624965698	27.9302	0	28.0776	0	27.9558	0	28.3309	0	28.2615	0	28.5962	0	
	EPRS	Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	25	24	P07814	P07814	25	25	24	170.59	21	0.532115008148532	0.049011726347194	28.5638	0	27.6465	0	27.7936	0	28.7456	0	29.228	0	28.7609	0	
	MSH2	DNA mismatch repair protein Msh2	23	23	P43246	P43246	23	23	23	104.74	28.6	0.725047289655029	0.006897631677186	28.0328	0	27.8905	0	28.1225	0	28.3857	0	28.5923	0	28.4594	0	
	SMARCC1	SWI/SNF complex subunit SMARCC1	29	23	Q92922;Q9UL12	Q92922	29;1	29;1	23;1	122.87	28.1	0.521501388845066	0.014709232071486	28.1904	0	27.5109	0	27.5412	0	28.7538	0	28.5771	0	28.7294	0	
	TCP1	T-complex protein 1 subunit alpha	19	19	P17987	P17987	19	19	19	60.343	39.4	0.682093774388453	0.015026920888287	27.7035	0	27.3524	0	27.3382	0	28.1327	0	27.9158	0	28.0015	0	
	TP53	Cellular tumor antigen p53	11	11	P04637	P04637	11	11	11	43.653	33.1	1.61220365734849	0.028106709176789	28.6379	0	28.4374	0	28.2162	0	27.7043	0	27.4771	0	28.043	0	
	APPL1	DCC-interacting protein 13-alpha	16	16	Q9UKG1	Q9UKG1	16	16	16	79.663	29.3	0.782110848405346	0.018288159467883	27.8268	0	27.7521	0	28.0216	0	28.3017	0	28.146	0	28.2165	0	
	RABGEF1	Rab5 GDP/GTP exchange factor	16	16	Q9UJ41	Q9UJ41	16	16	16	79.37	23.3	1.42964207572199	0.022166646731048	28.1494	0	27.8591	0	28.0832	0	27.6899	0	27.5476	0	27.3073	0	
	HSPA4L	Heat shock 70 kDa protein 4L	22	18	O95757	O95757	22	18	18	94.511	28.6	0.546701788370181	0.009964373544408	27.6404	0	27.4025	0	27.0464	0	28.0808	0	28.3221	0	28.2999	0	
	MAGED2	Melanoma-associated antigen D2	16	14	Q9UNF1	Q9UNF1	16	15	14	64.953	34	1.425627429376	0.020991815469189	28.2265	0	28.186	0	28.4795	0	27.6632	0	27.7019	0	27.9922	0	
	FLNA	Filamin-A	42	39	P21333	P21333	42	42	39	280.74	22.6	0.592680706739843	0.01440820901434	28.1439	0	27.9308	0	27.6868	0	28.7118	0	28.8725	0	28.4412	0	
	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	17	17	P78344	P78344	17	17	17	102.36	19.3	0.700571886505578	0.025478860441718	27.6646	0	27.6869	0	27.3892	0	28.3179	0	27.9986	0	27.9644	0	
	GDI2	Rab GDP dissociation inhibitor beta	20	12	P50395	P50395	20	20	12	50.663	50.6	1.35280978495616	0.042774998206132	27.9349	0	27.904	0	27.706	0	27.6253	0	27.4361	0	27.1757	0	
	YBX1	Nuclease-sensitive element-binding protein 1	13	10	P67809;Q9Y2T7	P67809	13;3	13;3	10;0	35.924	65.7	1.5920636330677	0.011474664596423	27.9205	0	27.8724	0	28.3209	0	27.4046	0	27.4337	0	27.2628	0	170;264
	YWHAH	14-3-3 protein eta	16	13	Q04917	Q04917	16	13	13	28.218	50.8	1.59013031204651	0.01840899161886	27.976	0	27.9831	0	28.1944	0	27.0878	0	27.6322	0	27.426	0	77;78
	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	22	21	Q15029	Q15029	22	21	21	109.43	30	0.540266450016099	0.025769144451739	27.2908	0	27.1006	0	26.714	0	27.5449	0	28.0523	0	28.173	0	
	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	20	20	O15294	O15294	20	20	20	116.92	20.6	0.680051542295826	0.024089622811976	27.4923	0	27.0256	0	27.3017	0	27.7276	0	27.9871	0	27.7737	0	16
	PSMA5	Proteasome subunit alpha type-5	6	6	P28066	P28066	6	6	6	26.411	28.6	1.69274070817131	0.004299916281142	27.8889	0	27.5595	0	27.6056	0	26.7918	0	27.0671	0	26.9171	0	
	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	13	13	Q02790	Q02790	13	13	13	51.804	33.6	1.6434994800542	0.015017581585413	27.8817	0	27.3902	0	27.9099	0	26.9149	0	27.0555	0	27.0612	0	
	CAND1	Cullin-associated NEDD8-dissociated protein 1	28	28	Q86VP6;O75155	Q86VP6	28;2	28;2	28;2	136.37	26.1	0.554973965656423	0.00156541683481	26.9976	0	27.024	0	26.7826	0	27.7096	0	27.945	0	27.698	0	
	VPS35	Vacuolar protein sorting-associated protein 35	17	17	Q96QK1	Q96QK1	17	17	17	91.706	23.9	0.615767658114847	0.014641649289037	26.7718	0	27.0013	0	27.1494	0	27.4761	0	27.6271	0	27.9178	0	
	ACTN4	Alpha-actinin-4	25	18	O43707	O43707	25	25	18	104.85	32.4	0.504672716776138	0.009113181083302	26.7794	0	27.1968	0	26.5654	0	27.7181	0	28.0237	0	27.7595	0	
	BABAM1	BRISC and BRCA1-A complex member 1	7	7	Q9NWV8	Q9NWV8	7	7	7	36.56	34.7	1.61864319415698	0.048927159136559	28.2064	0	27.4495	0	27.9545	0	27.3047	0	26.956	0	27.2653	0	117
	CDC37	Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed	11	11	Q16543	Q16543	11	11	11	44.468	28	1.60697891534698	0.022955142864389	27.6742	0	27.5745	0	27.7899	0	27.3225	0	26.7011	0	26.962	0	352
	PRDX2	Peroxiredoxin-2	8	7	P32119	P32119	8	7	7	21.892	35.9	1.63368745031433	0.014233771838991	27.5692	0	27.9353	0	27.4942	0	27.0446	0	27.0759	0	26.7538	0	
	SRRT	Serrate RNA effector molecule homolog	14	14	Q9BXP5	Q9BXP5	14	14	14	100.67	16.1	1.78063152103298	0.041274326944069	28.1327	0	27.5412	0	28.3183	0	27.2325	0	26.8704	0	27.3921	0	
	RNF40	E3 ubiquitin-protein ligase BRE1B	21	19	O75150	O75150	21	19	19	113.65	24.4	0.509333671318242	0.010423174293933	26.8686	0	26.3941	0	27.0766	0	27.6953	0	27.8935	0	27.6704	0	
	EIF3L	Eukaryotic translation initiation factor 3 subunit L	12	12	Q9Y262	Q9Y262	12	12	12	66.726	23.4	1.54445624556101	0.011313578641196	27.7189	0	27.4132	0	27.253	0	26.775	0	26.8313	0	26.8974	0	
	SYAP1	Synapse-associated protein 1	13	13	Q96A49	Q96A49	13	13	13	39.933	30.7	0.699453958333125	0.033716307030919	26.1755	0	26.3592	0	26.6451	0	26.941	0	26.7433	0	27.0426	0	
	SNRPB2	U2 small nuclear ribonucleoprotein B	5	5	P08579	P08579	5	5	5	25.486	28.4	1.85610586695564	0.016675543591257	27.7471	0	27.3843	0	27.9499	0	26.9431	0	26.9654	0	26.4958	0	
	SEC22B	Vesicle-trafficking protein SEC22b	8	8	O75396	O75396	8	8	8	24.593	41.9	1.72579487683696	0.022422291794493	27.7414	0	27.1733	0	27.1608	0	26.5675	0	26.7524	0	26.3938	0	
	PRDX6	Peroxiredoxin-6	8	8	P30041	P30041	8	8	8	25.035	40.2	0.643591866951009	0.025388088292712	25.7167	0	26.2718	0	26.2574	0	26.7187	0	26.7283	0	26.7062	0	
	EIF3I	Eukaryotic translation initiation factor 3 subunit I	9	9	Q13347	Q13347	9	9	9	36.501	38.5	1.73657052242348	0.024462452760513	27.8014	0	27.0763	0	27.4113	0	26.5147	0	26.5865	0	26.7991	0	
	CDC5L	Cell division cycle 5-like protein	21	21	Q99459	Q99459	21	21	21	92.25	33.5	1.97839568741455	0.019122294393341	27.2978	0	27.5892	0	28.1286	0	26.7393	0	26.8091	0	26.5142	0	
	RPS4X	40S ribosomal protein S4, X isoform	11	11	P62701;Q8TD47;P22090	P62701	11;4;3	11;4;3	11;4;3	29.597	45.2	1.39536156450727	0.011513569848249	27.2621	0	27.0842	0	27.1355	0	26.8249	0	26.7138	0	26.501	0	
	EMD	Emerin	8	8	P50402	P50402	8	8	8	28.994	42.5	1.8579954902535	0.00158858332666	27.5536	0	27.3087	0	27.4876	0	26.729	0	26.4171	0	26.5226	0	
	RNF20	E3 ubiquitin-protein ligase BRE1A	22	20	Q5VTR2	Q5VTR2	22	22	20	113.66	24.6	1.64997709831457	0.002146545012722	27.5342	0	27.3522	0	27.6758	0	26.7144	0	26.8413	0	26.8392	0	
	SH3GL1	Endophilin-A2	8	8	Q99961;Q99962	Q99961	8;2	8;2	8;2	41.489	22	1.55011043335327	0.048730402662524	27.1653	0	26.7633	0	27.1544	0	26.0303	0	26.5992	0	26.5565	0	
	EIF4A3	Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed	14	12	P38919	P38919	14	12	12	46.871	39.2	1.62500369657248	0.04924815896668	26.9492	0	27.2458	0	26.8452	0	25.8737	0	26.5007	0	26.5644	0	60
	SPDL1	Protein Spindly	14	14	Q96EA4	Q96EA4	14	14	14	70.171	27.4	0.689164837734091	0.044272087485353	26.7086	0	26.4705	0	26.3777	0	26.747	0	27.2595	0	27.1615	0	
	CDC123	Cell division cycle protein 123 homolog	5	5	O75794	O75794	5	5	5	39.134	17.3	0.779448171016221	0.026537499561631	26.2896	0	26.5713	0	26.3852	0	26.6767	0	26.7517	0	26.8961	0	
	RTCB	tRNA-splicing ligase RtcB homolog	12	12	Q9Y3I0	Q9Y3I0	12	12	12	55.21	26.1	1.63081824231468	0.019474665190747	26.9438	0	26.6024	0	27.1848	0	26.1652	0	26.3582	0	26.0909	0	
	ARCN1	Coatomer subunit delta	15	15	P48444	P48444	15	15	15	57.21	32.3	1.82200510326652	0.015560372881204	26.8533	0	27.4523	0	26.7837	0	26.1544	0	26.2169	0	26.1215	0	
	ZUFSP	Zinc finger with UFM1-specific peptidase domain protein	15	15	Q96AP4	Q96AP4	15	15	15	65.958	23.9	1.38972651290315	0.03752148342232	27.2193	0	26.7393	0	27.0935	0	26.5869	0	26.4274	0	26.6133	0	276
	MCMBP	Mini-chromosome maintenance complex-binding protein	8	8	Q9BTE3	Q9BTE3	8	8	8	72.979	12.6	1.34967308218761	0.005307866607089	26.9772	0	27.0141	0	26.9324	0	26.5141	0	26.4283	0	26.6834	0	
	RNF219	RING finger protein 219	16	16	Q5W0B1	Q5W0B1	16	16	16	81.116	25.1	1.78682952675559	0.002227152728027	27.1702	0	27.3732	0	27.5359	0	26.5728	0	26.5855	0	26.4088	0	
	EPN1	Epsin-1	10	10	Q9Y6I3;Q9H201	Q9Y6I3	10;2	10;2	10;2	60.293	21.4	1.61795333705616	0.048690025276313	26.8959	0	27.0615	0	26.9176	0	25.8977	0	26.7217	0	26.1731	0	
	TOMM34	Mitochondrial import receptor subunit TOM34	10	10	Q15785	Q15785	10	10	10	34.559	42.7	0.651882115362263	0.003116735875445	25.9402	0	25.7331	0	25.9142	0	26.3834	0	26.4359	0	26.6202	0	
	SNW1	SNW domain-containing protein 1	11	11	Q13573	Q13573	11	11	11	61.494	24.1	1.78014282917716	0.024023705758499	26.9151	0	26.8932	0	27.4866	0	26.098	0	26.5274	0	26.1736	0	
	DARS	Aspartate--tRNA ligase, cytoplasmic	14	14	P14868	P14868	14	14	14	57.136	33.5	1.76367288051693	0.019367341034458	27.0128	0	26.3197	0	26.4366	0	25.775	0	25.7169	0	25.8214	0	
	KARS	Lysine--tRNA ligase	15	15	Q15046	Q15046	15	15	15	68.047	25.3	1.3675475530441	0.00328866775402	26.7206	0	26.5395	0	26.7608	0	26.2484	0	26.2421	0	26.1756	0	
	RPSA	40S ribosomal protein SA	4	4	P08865	P08865	4	4	4	32.854	16.6	0.596808918504992	0.006350530409723	25.4558	0	25.548	0	25.8475	0	26.509	0	26.3377	0	26.2387	0	
	AP1M1	AP-1 complex subunit mu-1	10	10	Q9BXS5;Q9Y6Q5	Q9BXS5	10;2	10;2	10;2	48.586	25.5	1.75321994928769	0.016438038754118	26.4859	0	26.2761	0	26.5236	0	25.4127	0	25.9951	0	25.4477	0	
	MIA3	Melanoma inhibitory activity protein 3	19	19	Q5JRA6	Q5JRA6	19	19	19	213.7	12.5	0.565281739907413	0.042827231400372	26.6403	0	25.7665	0	26.0974	0	26.8098	0	26.9495	0	27.2138	0	
	PSMD3	26S proteasome non-ATPase regulatory subunit 3	11	11	O43242	O43242	11	11	11	60.977	22.1	0.765167763834876	0.025308126700015	25.7784	0	25.5196	0	25.6992	0	25.9093	0	26.0592	0	26.187	0	
	CAPN1	Calpain-1 catalytic subunit	12	12	P07384	P07384	12	12	12	81.889	19	0.734590935944601	0.043842973397457	26.0505	0	25.6112	0	25.6956	0	26.1463	0	26.1698	0	26.3761	0	
	UAP1	UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	10	10	Q16222;Q3KQV9	Q16222	10;1	10;1	10;1	58.768	20.5	1.95484605618285	0.018335383583308	26.0942	0	26.3179	0	26.9074	0	25.346	0	25.505	0	25.5673	0	
	TROVE2	60 kDa SS-A/Ro ribonucleoprotein	8	8	P10155	P10155	8	8	8	60.67	12.3	1.74718575625338	0.027487801123105	26.7724	0	26.7493	0	26.2731	0	25.8178	0	25.4824	0	26.0795	0	
	TBCE	Tubulin-specific chaperone E	9	9	Q15813;Q8WVB6	Q15813	9;1	9;1	9;1	59.345	18.8	0.590673175165001	0.006530553625421	25.0401	0	25.223	0	25.5079	0	26.1005	0	25.9178	0	26.0313	0	
	DDX17	Probable ATP-dependent RNA helicase DDX17	12	8	Q92841	Q92841	12	8	8	80.272	18.8	1.31016090084101	0.022650615089154	26.1412	0	26.2723	0	26.2709	0	25.978	0	25.8901	0	25.6471	0	
	CHMP1A	Charged multivesicular body protein 1a	4	4	Q9HD42	Q9HD42	4	4	4	21.703	17.3	1.72985966036974	0.002608074542532	25.9192	0	26.1541	0	25.8135	0	25.059	0	25.1823	0	25.2736	0	
